Voter,Tribal_1,Tribal_2,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tiebreak_8,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tribal_15,Tribal_16,Tiebreak_17,Tiebreak_17,Tribal_17,Tribal_18,Tribal_19,Tribal_20,Final Tribal,Final Tribal,Final Tribal
Tribal #:,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,17,17,18,19,20,21,21,21
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Tribes Post-Rupert Switch,Tribes Post-Rupert Switch,Tribes Post-Rupert Switch,Tribes Post-Rupert Switch,Tribes Post-Rupert Switch,Tribes Post-Rupert Switch,Tribes Post-Rupert Switch,Switched Tribes,Switched Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,1,1,1,2,3,3,4,4,5,6,7,8,9,9,10,11,12,12,12,13,14,14,14,14,14
Voted out:,Laura B.,Candice,Rupert,Marissa,Rachel,Colton,John,Tie,Brad,Laura M.,Kat,Laura B.,Aras,Vytas,Tina,Laura M.,Caleb,Tie,Deadlock,Katie,Hayden,Ciera,Tina,Gervase,Monica,Tyson
Vote:,6-2-1-1,6-3-1,No Vote,8-1,5-2-1,No Vote,6-1,3-3,3-1,7-1,5-1,4-1,7-2-2,8-1-1,7-1-1,7-1,4-3,3-3,2-2,Lottery,3-2,3-0,3-1,7-1-0,7-1-0,7-1-0
Tyson,-,Laura M.,-,-,-,-,-,-,-,Laura M.,-,-,Aras,Vytas,Tina,Laura M.,Caleb,Hayden,Hayden,-,Hayden,Ciera,Tina,Jury Vote,Jury Vote,Jury Vote
Monica,-,Candice,-,-,-,-,-,-,-,Laura M.,Kat,Laura B.,Aras,Vytas,Tina,Laura M.,Caleb,Hayden,None,-,Hayden,Ciera,Tina,Jury Vote,Jury Vote,Jury Vote
Gervase,-,Candice,-,-,-,-,-,-,-,Laura M.,-,-,Aras,Vytas,Tina,Laura M.,Caleb,Hayden,Hayden,-,Hayden,Ciera,Tina,Jury Vote,Jury Vote,Jury Vote
Tina,-,Candice,-,-,-,-,-,-,-,Laura M.,Kat,Laura B.,Ciera,Vytas,Tyson,,,,,,,Gervase,Gervase,,,Tyson
Ciera,Laura B.,-,-,Marissa,John,-,John,Brad,None,-,-,-,Aras,Katie,Tina,Laura M.,Caleb,Monica,Monica,-,Gervase,Gervase,,,,Tyson
Hayden,Laura B.,-,-,Marissa,Rachel,-,John,Ciera,Ciera,-,-,-,Aras,Vytas,Tina,Laura M.,Ciera,Monica,None,-,Gervase,Eliminated,,,,Tyson
Katie,Marissa,-,-,Marissa,John,-,John,Brad,Brad,-,Kat,Laura B.,Ciera,Vytas,Monica,Laura M.,Ciera,Monica,Monica,Eliminated,Eliminated,,,,,Tyson
Caleb,Laura B.,-,-,Marissa,Rachel,-,John,Brad,Brad,-,-,-,Aras,Vytas,Tina,Laura M.,Ciera,Eliminated,Eliminated,Eliminated,,,,,,Tyson
Laura M.,-,Candice,-,-,-,-,-,-,-,Laura B.,,,Aras,Vytas,Tina,Katie,,,,,,Eliminated,,,,Tyson
Vytas,Laura B.,-,-,Marissa,Rachel,-,John,Ciera,Brad,-,Kat,Laura B.,Laura M.,Tyson,,,Eliminated,,,,,,,,Monica,
Aras,-,Gervase,-,-,-,-,-,-,-,Laura M.,-,-,Laura M.,,,Eliminated,,,,,,,,,,Tyson
Laura B.,Marissa,,Switched,-,-,-,-,-,-,Laura M.,Kat,Vytas,Eliminated,,,,,,,,,,,,,
Kat,-,Candice,-,-,-,-,-,-,-,Laura M.,Vytas,Eliminated,,,,,,,,,,,,,,
Brad,Laura B.,-,-,Marissa,Rachel,-,John,Ciera,None,,Eliminated,,,,,,,,,,,,,,,
John,Laura B.,-,-,Marissa,Rachel,-,Ciera,,,,,,Eliminated,,,,,,,,,,,,,
Colton,-,Candice,-,-,-,Quit,,,,,,,,,,,,,,,,,,,,
Rachel,Katie,-,-,Marissa,Ciera,Eliminated,,,,,,,,,,,,,,,,,,,,
Marissa,Brad,-,-,Katie,,,,Eliminated,Eliminated,,,,,,,,,,,,,,,,,
Candice,-,Laura M.,-,,,,,,,Eliminated,,,,,,,,,,,,,,,,
Rupert,-,Laura M.,Switched,,Eliminated,,,,,,,,,,,,,,,,,,,,,
