,Tyson,Monica,Gervase,Tina,Ciera,Hayden,Katie,Caleb,Laura M.,Vytas,Aras,Laura B.,Kat,Brad,John,Colton,Rachel,Marissa,Candice,Rupert
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
3,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
9,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
10,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False
11,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False
12,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
13,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
14,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
15,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
16,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
17,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
