,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kass,Spencer,0.0,0.0,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Kass,Tasha,0.0,1.0,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Kass,J'Tia,0.0,1.0,,0.0,,,,,,,,,,,,
Kass,Garrett,0.0,0.0,,,,,,,,,,,,,,
Kass,David,1.0,,,,,,,,,,,,,,,
Spencer,Tasha,1.0,0.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Spencer,J'Tia,1.0,0.0,,0.0,,,,,,,,,,,,
Spencer,Garrett,1.0,1.0,,,,,,,,,,,,,,
Spencer,David,0.0,,,,,,,,,,,,,,,
Tasha,J'Tia,1.0,1.0,,0.0,,,,,,,,,,,,
Tasha,Garrett,1.0,0.0,,,,,,,,,,,,,,
Tasha,David,0.0,,,,,,,,,,,,,,,
J'Tia,Garrett,1.0,0.0,,,,,,,,,,,,,,
J'Tia,David,0.0,,,,,,,,,,,,,,,
Garrett,David,0.0,,,,,,,,,,,,,,,
Jefra,Jeremiah,,,1.0,,,,,0.0,0.0,0.0,0.0,,,,,
Jefra,LJ,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,
Jefra,Morgan,,,0.0,,,,,0.0,0.0,,,,,,,
Jefra,Alexis,,,1.0,,,,,,,,,,,,,
Jefra,Brice,,,0.0,,,,,,,,,,,,,
Jeremiah,LJ,,,1.0,,,,,0.0,0.0,0.0,,,,,,
Jeremiah,Morgan,,,0.0,,,,1.0,1.0,1.0,,,,,,,
Jeremiah,Alexis,,,1.0,,,,0.0,,,,,,,,,
Jeremiah,Brice,,,0.0,,,,,,,,,,,,,
LJ,Morgan,,,0.0,,,,,0.0,0.0,,,,,,,
LJ,Alexis,,,1.0,,,,,,,,,,,,,
LJ,Brice,,,0.0,,,,,,,,,,,,,
Morgan,Alexis,,,0.0,,,,0.0,,,,,,,,,
Morgan,Brice,,,1.0,,,,,,,,,,,,,
Alexis,Brice,,,0.0,,,,,,,,,,,,,
Tony,Woo,,,,,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Tony,Trish,,,,,1.0,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,
Tony,Jefra,,,,,1.0,,,1.0,1.0,0.0,1.0,0.0,,,,
Tony,LJ,,,,,1.0,,,1.0,1.0,0.0,,,,,,
Tony,Lindsey,,,,,0.0,,,,,,,,,,,
Tony,Cliff,,,,,0.0,,,,,,,,,,,
