,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Tony,Woo,Kass,Spencer,Trish,Tasha,Jefra,Jeremiah,LJ,Morgan,Sarah,Alexis,Lindsey,Cliff,J'Tia,Brice,Garrett,David,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,David,4-2,-,-,J'Tia,David,-,David,-,-,-,-,-,-,-,-,David,-,David,J'Tia,[],False,{},False,{},True,0,False,False,,1,"""Hot Girl with a Grudge""","February 26, 2014","['Solana', 'Aparri']","['Solana', 'Aparri']","['David', '4-2']",1st Voted OutDay 3,9.40,2.4/7,David,"['Solana', 'Aparri']",0.6666666666666666
1,2,Original Tribes,1,Garrett,3-2,-,-,Garrett,J'Tia,-,Garrett,-,-,-,-,-,-,-,-,Garrett,-,J'Tia,,[],False,{},False,{},True,0,False,False,,1,"""Hot Girl with a Grudge""","February 26, 2014","['Aparri', 'Solana']","['Aparri', 'Solana']","['Garrett', '3-2']",2nd Voted OutDay 6,9.40,2.4/7,Garrett,"['Aparri', 'Solana']",0.6666666666666666
2,3,Original Tribes,2,Brice,2-2-2,-,-,-,-,-,-,Brice,Morgan,Morgan,Alexis,-,Brice,-,-,-,Alexis,,,[],True,"{'Tony': '-', 'Woo': '-', 'Kass': '-', 'Spencer': '-', 'Trish': '-', 'Tasha': '-', 'Jefra': 'Brice', 'Jeremiah': 'Morgan', 'LJ': 'Morgan', 'Morgan': 'Alexis', 'Sarah': '-', 'Alexis': 'Brice', 'Lindsey': '-', 'Cliff': '-', ""J'Tia"": '-', 'Brice': 'Alexis'}",False,{},True,0,False,False,,2,"""Cops-R-Us""","March 5, 2014","['Aparri', 'Luzon']","['Aparri', 'Luzon']","['Brice', '2-2-2;3-0-0']",3rd Voted OutDay 8,9.58,2.4/8,Brice,"['Aparri', 'Luzon']",0.6666666666666666
3,4,Original Tribes,3,J'Tia,3-1,-,-,J'Tia,J'Tia,-,J'Tia,-,-,-,-,-,-,-,-,Spencer,,,,[],False,{},False,{},True,0,False,False,,3,"""Our Time to Shine""","March 12, 2014","['Solana', 'Aparri']","['Solana', 'Aparri']","[""J'Tia"", '3-1']",4th Voted OutDay 11,9.66,2.5/8,J'Tia,"['Solana', 'Aparri']",0.6666666666666666
4,5,Switched Tribes,4,Cliff,4-3,Cliff,LJ,-,-,Cliff,-,Cliff,-,Cliff,-,-,-,LJ,LJ,,,,,[],False,{},False,{},True,1,False,False,,4,"""Odd One Out""","March 19, 2014",Solana,Aparri,"['Cliff', '4-3']",5th Voted OutDay 14,9.46,2.5/8,Cliff,['Aparri'],0.5
5,6,Switched Tribes,5,Lindsey,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,['Lindsey'],False,{},False,{},False,1,False,False,,5,"""We Found Our Zombies""","March 26, 2014",Solana,Solana,"['Lindsey', 'No Vote']",QuitDay 14,9.85,2.3/7,Lindsey,['Solana'],0.5
6,7,Switched Tribes,5,Alexis,6-1,-,-,Alexis,Alexis,-,Alexis,-,Alexis,-,Alexis,Alexis,Jeremiah,,,,,,,[],False,{},False,{},True,1,False,False,,5,"""We Found Our Zombies""","March 26, 2014",Solana,Solana,"['Alexis', '6-1']",6th Voted OutDay 16,9.85,2.3/7,Alexis,['Solana'],0.5
7,8,Merged Tribe,6,Sarah,6-5,Sarah,Sarah,Sarah,Jefra,Sarah,Jefra,Sarah,Jefra,Sarah,Jefra,Jefra,,,,,,,,[],False,{},False,{},True,2,True,False,,6,"""Head of the Snake""","April 2, 2014",None,Woo,"['Sarah', '6-5']",7th Voted Out1st Jury MemberDay 19,9.48,2.3/7,Sarah,['Woo'],0.09090909090909091
8,9,Merged Tribe,7,Morgan,6-4,Morgan,Morgan,Morgan,Tony,Morgan,Tony,Morgan,Tony,Morgan,Tony,,,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""Mad Treasure Hunt""","April 9, 2014","Jefra,Jeremiah,LJ, Morgan,Spencer",Spencer,"['Morgan', '6-4']",8th Voted Out2nd Jury MemberDay 22,9.62,2.4/7,Morgan,['Spencer'],0.1
9,10,Merged Tribe,8,LJ,5-3-1,LJ,LJ,Jeremiah,LJ,Jeremiah,LJ,Jeremiah,LJ,Spencer,,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Bag of Tricks""","April 16, 2014","Jeremiah,Spencer,Tony",Tasha,"['LJ', '5-3-1']",9th Voted Out3rd Jury MemberDay 25,9.35,2.3/8,LJ,['Tasha'],0.1111111111111111
