,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Nadiya Anderson,Nadiya,[],28,Edgewater,NJ,Natalie's twin sister,Coyopa,,,1st Voted OutDay 3,5,18.0,False
1,Val Collins,Val,[],35,Foxboro,MA,Jeremy's wife,Coyopa,,,2nd Voted OutDay 6,9,17.0,False
2,John Rocker,John,[],39,Atlanta,GA,Julie's boyfriend,Coyopa,,,3rd Voted OutDay 8,5,16.0,False
3,Drew Christy,Drew,[],25,Winter Park,FL,Alec's brother,Hunahpu,,,4th Voted OutDay 10,5,15.0,False
4,Kelley Wentworth,Kelley,[],27,Seattle,WA,Dale's daughter,Hunahpu,Coyopa,,5th Voted OutDay 13,4,14.0,False
5,Dale Wentworth,Dale,[],55,Ephrata,WA,Kelley's father,Coyopa,Coyopa,,6th Voted OutDay 15,8,13.0,False
6,Julie McGee,Julie,[],34,Atlanta,GA,John's girlfriend,Hunahpu,Hunahpu,Huyopa,QuitDay 18,2,12.0,False
7,Josh Canfield,Josh,[],32,New York City,NY,Reed's boyfriend,Coyopa,Hunahpu,Huyopa,7th Voted Out 1st Jury MemberDay 21,6,11.0,False
8,Jeremy Collins,Jeremy,[],36,Foxboro,MA,Val's husband,Hunahpu,Hunahpu,Huyopa,8th Voted Out 2nd Jury MemberDay 24,5,10.0,False
9,Wes Nale,Wes,[],23,Shreveport,LA,Keith's son,Coyopa,Hunahpu,Huyopa,9th Voted Out 3rd Jury MemberDay 26,2,9.0,False
10,Reed Kelly,Reed,[],31,New York City,NY,Josh's boyfriend,Hunahpu,Hunahpu,Huyopa,10th Voted Out 4th Jury MemberDay 29,10,8.0,False
11,Alec Christy,Alec,[],22,Winter Park,FL,Drew's brother,Coyopa,Hunahpu,Huyopa,11th Voted Out 5th Jury MemberDay 32,4,7.0,False
12,Jon Misch,Jon,[],26,Waterford,MI,Jaclyn's boyfriend,Hunahpu,Coyopa,Huyopa,12th Voted Out 6th Jury MemberDay 35,8,6.0,False
13,Baylor Wilson,Baylor,[],20,Nashville,TN,Missy's daughter,Coyopa,Coyopa,Huyopa,13th Voted Out 7th Jury MemberDay 37,17,5.0,False
14,Keith Nale,Keith,[],53,Shreveport,LA,Wes's father,Hunahpu,Coyopa,Huyopa,14th Voted Out 8th Jury MemberDay 38,16,4.0,False
15,Missy Payne,Missy,[],46,Dallas,TX,Baylor's mother,Hunahpu,Coyopa,Huyopa,SecondRunner-Up,3,3.0,False
16,Jaclyn Schultz,Jaclyn,[],25,Las Vegas,NV,Jon's girlfriend,Coyopa,Coyopa,Huyopa,Runner-Up,6,2.0,False
17,Natalie Anderson,Natalie,[],28,Edgewater,NJ,Nadiya's twin sister,Hunahpu,Hunahpu,Huyopa,Sole Survivor,0,1.0,False
