Voter,Tribal_1,Tiebreak_2,Tribal_2,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tiebreak_13,Tribal_13,Tribal_14,Tribal_15,Final Tribal,Final Tribal,Final Tribal
Tribal #:,1,2,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,16,16
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Switched Tribes,Switched Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,2,2,3,4,5,6,7,8,9,10,11,12,13,13,14,14,14,14,14
Voted out:,Nadiya,Tie,Val,John,Drew,Kelley,Dale,Julie,Josh,Jeremy,Wes,Reed,Alec,Tie,Jon,Baylor,Keith,Missy,Jaclyn,Natalie
Vote:,5-3-1,4-4,5-1,5-2,5-2-1-1,3-2-2,3-2-1,No Vote,6-5,5-3-2,2-0-0,7-1,4-3,2-2-2,2-1-0,2-0,3-1,5-2-1,5-2-1,5-2-1
Natalie,-,-,-,-,Drew,-,-,-,Josh,Keith,Keith,Reed,Alec,Jon,Jon,Baylor,Keith,Jury Vote,Jury Vote,Jury Vote
Jaclyn,Dale,Baylor,Baylor,John,-,Kelley,Dale,-,Josh,Jeremy,Wes,Reed,Keith,Keith,None,Baylor,Keith,Jury Vote,Jury Vote,Jury Vote
Missy,-,-,-,-,Drew,Kelley,Keith,-,Josh,Jeremy,Keith,Reed,Alec,Jaclyn,Jaclyn,Jaclyn,Keith,Jury Vote,Jury Vote,Jury Vote
Keith,-,-,-,-,Julie,Dale,Dale,-,Baylor,Reed,Jon,Reed,Alec,Jon,None,Jaclyn,Missy,,,Natalie
Baylor,Nadiya,Val,None,John,-,Kelley,Keith,-,Josh,Jeremy,Keith,Reed,Alec,Jaclyn,Jon,Jaclyn,,Missy,,
Jon,-,-,-,-,Keith,Dale,Dale,-,Josh,Jeremy,Wes,Reed,Keith,Keith,None,,,,Jaclyn,
Alec,Nadiya,Baylor,Val,John,-,-,-,-,Baylor,Reed,Jon,Reed,Keith,,,,,,,Natalie
Reed,-,-,-,-,Julie,-,-,-,Baylor,Jeremy,Jon,Missy,,,,,,,Jaclyn,
Wes,Nadiya,Val,Val,John,-,-,-,-,Baylor,Reed,Jon,,,,,,,,,Natalie
Jeremy,-,-,-,-,Drew,-,-,-,Josh,Keith,,,,,,,,,,Natalie
Josh,Baylor,Val,Val,John,-,-,-,-,Baylor,,,,,,,,,,,Natalie
Julie,-,-,-,-,Drew,-,-,Quit,,,,,,,,,,,,
Dale,Nadiya,Val,Val,Baylor,-,Baylor,Missy,,,,,,,,,,,,,
Kelley,-,-,-,-,Drew,Baylor,,,,,,,,,,,,,,
Drew,-,-,-,-,Kelley,,,,,,,,,,,,,,,
John,Nadiya,Baylor,Val,Baylor,,,,,,,,,,,,,,,,
Val,Dale,Baylor,None,,,,,,,,,,,,,,,,,
Nadiya,Dale,,,,,,,,,,,,,,,,,,,
