,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Mike,Carolyn,Will,Rodney,Sierra,Dan,Tyler,Shirin,Jenn,Joe,Hali,Kelly,Joaquin,Max,Lindsey,Nina,Vince,So,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,So,4-2,-,So,-,-,-,-,So,So,-,-,-,-,Carolyn,So,-,-,-,Carolyn,[],False,{},False,{},True,0,False,False,,1,"""It's Survivor Warfare""","February 25, 2015","['Nagarote', 'Escameca']","['Nagarote', 'Escameca']","['So', '4-2']",1st Voted OutDay 3,10.04,2.4/7,So,"['Nagarote', 'Escameca']",0.6666666666666666
1,2,Original Tribes,2,Vince,3-2-1,-,-,Vince,-,-,-,-,-,Vince,Nina,Vince,-,-,-,-,Jenn,Jenn,,[],False,{},False,{},True,0,False,False,,2,"""It Will Be My Revenge""","March 4, 2015","['Masaya', 'Escameca']","['Masaya', 'Escameca']","['Vince', '3-2-1']",2nd Voted OutDay 6,9.77,2.3/7,Vince,"['Masaya', 'Escameca']",0.6666666666666666
2,3,Original Tribes,3,Nina,3-2,-,-,Nina,-,-,-,-,-,Nina,Nina,Will,-,-,-,-,Will,,,[],False,{},False,{},True,0,False,False,,3,"""Crazy Is as Crazy Does""","March 11, 2015","['Escameca', 'Masaya']","['Escameca', 'Masaya']","['Nina', '3-2']",3rd Voted OutDay 8,9.25,2.2/8,Nina,"['Escameca', 'Masaya']",0.6666666666666666
3,4,Original Tribes,4,Lindsey,2-2-2,Lindsey,-,-,Sierra,Rodney,Lindsey,-,-,-,-,-,Sierra,-,-,Rodney,,,,[],True,"{'Mike': 'Lindsey', 'Carolyn': '-', 'Will': '-', 'Rodney': 'Sierra', 'Sierra': 'Rodney', 'Dan': 'Lindsey', 'Tyler': '-', 'Shirin': '-', 'Jenn': '-', 'Joe': '-', 'Hali': '-', 'Kelly': 'Sierra', 'Joaquin': '-', 'Max': '-', 'Lindsey': 'Rodney'}",False,{},True,0,False,False,,4,"""Winner Winner, Chicken Dinner""","March 18, 2015","['Nagarote', 'Masaya']","['Nagarote', 'Masaya']","['Lindsey', '2-2-2;3-0-0']",4th Voted OutDay 11,9.62,2.3/7,Lindsey,"['Nagarote', 'Masaya']",0.6666666666666666
4,5,Switched Tribes,5,Max,5-2,-,Max,Max,-,-,-,-,Will,Max,-,Max,Max,-,Will,,,,,[],False,{},False,{},True,1,False,False,,5,"""We're Finally Playing Some Survivor""","March 18, 2015",Escameca,Escameca,"['Max', '5-2']",5th Voted OutDay 14,9.62,2.3/7,Max,['Escameca'],0.5
5,6,Switched Tribes,6,Joaquin,4-3,Joaquin,-,-,Joe,Joaquin,Joaquin,Joe,-,-,Joaquin,-,-,Joe,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Odd Woman Out""","March 25, 2015",Nagarote,Nagarote,"['Joaquin', '4-3']",6th Voted OutDay 16,9.64,2.3/8,Joaquin,['Nagarote'],0.5
6,7,Merged Tribe,7,Kelly,4-1-0,Jenn,Jenn,Hali,Jenn,Jenn,Jenn,Jenn,Kelly,Kelly,Kelly,Kelly,Jenn,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""The Line Will Be Drawn Tonight""","April 1, 2015",None,Joe,"['Kelly', '4-1-0']",7th Voted OutDay 19,9.59,2.2/8,Kelly,['Joe'],0.08333333333333333
7,8,Merged Tribe,8,Hali,7-4,Hali,Hali,Hali,Hali,Hali,Hali,Hali,Dan,Dan,Dan,Dan,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Keep It Real""","April 8, 2015","Joe[Carolyn,Shirin,Tyler, Will]",Joe,"['Hali', '7-4']",8th Voted Out1st Jury MemberDay 22,9.84,2.5/8,Hali,['Joe'],0.09090909090909091
8,9,Merged Tribe,9,Joe,5-4-1,Joe,Jenn,Jenn,Joe,Joe,Joe,Jenn,Joe,Dan,Jenn,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Livin' on the Edge""","April 15, 2015","Dan, Mike,Shirin,Sierra, Tyler",Tyler,"['Joe', '5-4-1']",9th Voted Out2nd Jury MemberDay 24,9.35,2.2/8,Joe,['Tyler'],0.1
9,10,Merged Tribe,10,Jenn,5-3-1,Jenn,Jenn,Jenn,Shirin,Shirin,Shirin,Jenn,Jenn,Carolyn,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Bring the Popcorn""","April 22, 2015",SurvivorAuction,Mike,"['Jenn', '5-3-1']",10th Voted Out3rd Jury MemberDay 27,10.19,2.4/8,Jenn,['Mike'],0.1111111111111111
