,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Darnell Hamilton,Darnell,[],27,Chicago,IL,Postal Worker,To Tang,,,1st Voted OutDay 3,7,18.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,3
1,Jennifer Lanzetti,Jennifer,[],37,Salt Lake City,UT,Contractor,To Tang,,,2nd Voted OutDay 6,3,17.0,False,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,3
2,Liz Markham,Liz,[],26,New York City,NY,Quantitative Strategist,Chan Loh,,,3rd Voted OutDay 8,5,16.0,False,False,False,3,False,3,2,0,0,4,3,2,1,0,0,1,0.3333333333333333,,0,2
3,Caleb Reynolds,Caleb,[],27,Hopkinsville,KY,Army Veteran,Gondol,,,EvacuatedDay 9,0,15.0,False,False,False,4,False,4,3,0,0,5,3,3,0,0,0,0,0.375,,0,0
4,Alecia Holden,Alecia,[],23,Dallas,TX,Real Estate Agent,To Tang,,,4th Voted OutDay 11,8,14.0,False,False,False,5,False,5,1,0,0,6,4,1,3,0,2,1,0.1,,0,8
5,Anna Khait,Anna,[],26,Brooklyn,NY,Professional Poker Player,Gondol,Gondol,,5th Voted OutDay 13,5,13.0,False,False,False,6,False,6,4,1,0,7,5,4,1,0,0,1,0.5,,0,5
6,Peter Baggenstos,Peter,[],34,Minneapolis,MN,ER Doctor,Chan Loh,Gondol,,6th Voted OutDay 16,7,12.0,False,False,False,7,False,7,3,1,0,8,6,3,3,0,1,2,0.375,,0,7
7,Neal Gottlieb,Neal,[],38,Sausalito,CA,Ice Cream Entrepreneur,Chan Loh,Chan Loh,Dara,Evacuated1st Jury MemberDay 19,0,11.0,False,False,False,8,True,7,5,2,0,9,6,5,1,0,0,1,0.5061728395061729,0.0,0,0
8,Nick Maiorano,Nick,[],30,Redondo Beach,CA,Personal Trainer,Gondol,Chan Loh,Dara,7th Voted Out2nd Jury MemberDay 22,6,10.0,False,False,False,9,True,7,6,3,1,10,7,6,1,0,0,1,1.5055555555555555,5.0,0,6
9,Debbie Wanner,Debbie,[],49,Reading,PA,Chemist,Chan Loh,Chan Loh,Dara,8th Voted Out3rd Jury MemberDay 24,5,9.0,False,False,False,10,True,7,5,4,0,11,8,5,3,0,2,1,0.41414141414141414,0.0,0,5
10,Scot Pollard,Scot,[],40,Carmel,IN,Former NBA Champion,To Tang,Gondol,Dara,9th Voted Out4th Jury MemberDay 27,7,8.0,False,False,False,11,True,7,1,5,0,12,9,1,8,0,4,4,0.041666666666666664,0.0,0,7
11,Julia Sokolowski,Julia,[],18,Boston,MA,College Student,Gondol,Gondol,Dara,10th Voted Out5th Jury MemberDay 29,7,7.0,False,False,False,12,True,7,4,6,2,13,10,4,5,1,3,2,0.9273504273504274,1.6,0,7
12,Kyle Jason,Jason,[],30,Detroit,MI,Bounty Hunter,To Tang,Chan Loh,Dara,11th Voted Out6th Jury MemberDay 32,5,6.0,False,False,False,13,True,7,3,7,1,14,11,3,8,0,2,6,0.6468253968253969,1.1666666666666667,0,5
13,Joe del Campo,Joe,[],71,Vero Beach,FL,Former FBI Agent,Chan Loh,Gondol,Dara,Evacuated7th Jury MemberDay 34,1,5.0,False,False,False,14,True,7,3,7,0,15,11,3,8,0,6,2,0.21428571428571427,0.0,0,1
14,Cydney Gillon,Cydney,[],22,Douglasville,GA,Bodybuilder,To Tang,Chan Loh,Dara,12th Voted Out8th Jury MemberDay 37,5,4.0,False,False,False,15,True,7,3,8,1,16,12,3,9,0,7,2,0.4703703703703704,0.7142857142857143,0,5
15,Tai Trang,Tai,[],51,San Francisco,CA,Gardener,Gondol,Gondol,Dara,SecondRunner-Up,4,3.0,False,False,True,16,True,7,4,8,1,17,12,4,8,0,5,3,0.8333333333333334,1.2857142857142858,0,4
16,Aubry Bracco,Aubry,[],29,Cambridge,MA,Social Media Marketer,Chan Loh,Gondol,Dara,Runner-Up,8,2.0,False,False,True,16,True,7,3,8,0,17,12,3,9,0,8,1,0.2,0.0,2,8
17,Michele Fitzgerald,Michele,[],24,Freehold,NJ,Bartender,Gondol,Chan Loh,Dara,Sole Survivor,2,1.0,False,True,True,16,True,7,6,8,2,17,12,6,6,0,4,2,0.937037037037037,1.2857142857142858,5,1
