,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Michele,Aubry,Tai,Cydney,Joe,Jason,Julia,Scot,Debbie,Nick,Neal,Peter,Anna,Alecia,Caleb,Liz,Jennifer,Darnell,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Darnell,3-3,-,-,-,Alecia,-,Alecia,-,Darnell,-,-,-,-,-,Darnell,-,-,Darnell,Alecia,[],True,"{'Michele': '-', 'Aubry': '-', 'Tai': '-', 'Cydney': 'Alecia', 'Joe': '-', 'Jason': 'Alecia', 'Julia': '-', 'Scot': 'Darnell', 'Debbie': '-', 'Nick': '-', 'Neal': '-', 'Peter': '-', 'Anna': '-', 'Alecia': 'Darnell', 'Caleb': '-', 'Liz': '-', 'Jennifer': 'Darnell', 'Darnell': 'Alecia'}",False,{},True,0,False,False,,1,"""I'm a Mental Giant""","February 17, 2016","['Chan LohChallenge Title: Wooden ShipsThe tribes will swim out to a boat. Once the entire tribe is on board their boat, one person at a time will dive down to retrieve paddles. Once they have all four paddles, they will race to shore, where they will convert their boat to a cart by attaching four wheels. They will then push their boat to the top of the beach. Once at the top, they will have to decide between assembling a puzzle or testing their dexterity by stacking balls while standing on a wobbly beam. The first two tribes to finish win immunity.Reward: A fire-making kit for the winning tribe, and flint for the runner-up.', 'Gondol']","['Chan LohChallenge Title: Wooden ShipsThe tribes will swim out to a boat. Once the entire tribe is on board their boat, one person at a time will dive down to retrieve paddles. Once they have all four paddles, they will race to shore, where they will convert their boat to a cart by attaching four wheels. They will then push their boat to the top of the beach. Once at the top, they will have to decide between assembling a puzzle or testing their dexterity by stacking balls while standing on a wobbly beam. The first two tribes to finish win immunity.Reward: A fire-making kit for the winning tribe, and flint for the runner-up.', 'Gondol']","['Darnell', '3-3;4-0']",1st Voted OutDay 3,8.30,1.9/7,Darnell,"['Chan Loh', 'Gondol']",0.6666666666666666
1,2,Original Tribes,2,Jennifer,3-2,-,-,-,Jennifer,-,Jennifer,-,Alecia,-,-,-,-,-,Jennifer,-,-,Alecia,,[],False,{},False,{},True,0,False,False,,2,"""Kindergarten Camp""","February 24, 2016","['GondolChallenge Title: Dragging the RiverEach tribe will race down the river to retrieve a very heavy log. They will then carry it through a series of obstacles. Once they placed the log in a cradle, they will untie a ball from the log and use it with a slingshot to knock down two targets. The first two tribes to finish win immunity and reward.Reward: An ultimate fishing kit and a boat waiting at camp for the winning tribe, and simple fishing gear for the runner-up.', 'Chan Loh']","['GondolChallenge Title: Dragging the RiverEach tribe will race down the river to retrieve a very heavy log. They will then carry it through a series of obstacles. Once they placed the log in a cradle, they will untie a ball from the log and use it with a slingshot to knock down two targets. The first two tribes to finish win immunity and reward.Reward: An ultimate fishing kit and a boat waiting at camp for the winning tribe, and simple fishing gear for the runner-up.', 'Chan Loh']","['Jennifer', '3-2']",2nd Voted OutDay 6,8.39,1.9/6,Jennifer,"['Gondol', 'Chan Loh']",0.6666666666666666
2,3,Original Tribes,3,Liz,2-2-2,-,Peter,-,-,Liz,-,-,-,Liz,-,Peter,Aubry,-,-,-,Aubry,,,[],True,"{'Michele': '-', 'Aubry': 'Peter', 'Tai': '-', 'Cydney': '-', 'Joe': 'Liz', 'Jason': '-', 'Julia': '-', 'Scot': '-', 'Debbie': 'Liz', 'Nick': '-', 'Neal': 'Peter', 'Peter': 'Aubry', 'Anna': '-', 'Alecia': '-', 'Caleb': '-', 'Liz': 'Aubry'}",False,{},True,0,False,False,,3,"""The Circle of Life""","March 2, 2016","['GondolChallenge Title: Rice RaceThe tribes must maneuver three bags of rice across an obstacle course in the water. At the end of the course, they must open the bags to retrieve three balls and compete in the maze of holes. First two tribes to get a ball at the top of the maze win immunity.Reward: The winning tribe gets a choice between comfort and emotional items; the runner-up receives the option not taken by the winners.', 'To Tang']","['GondolChallenge Title: Rice RaceThe tribes must maneuver three bags of rice across an obstacle course in the water. At the end of the course, they must open the bags to retrieve three balls and compete in the maze of holes. First two tribes to get a ball at the top of the maze win immunity.Reward: The winning tribe gets a choice between comfort and emotional items; the runner-up receives the option not taken by the winners.', 'To Tang']","['Liz', '2-2-2;3-0-0']",3rd Voted OutDay 8,9.24,2.2/8,Liz,"['Gondol', 'To Tang']",0.6666666666666666
3,4,Original Tribes,4,Caleb,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,[],False,{},False,{},False,0,False,False,,4,"""Signed, Sealed and Delivered""","March 9, 2016",Chan Loh,Chan Loh,"['Caleb', 'No Vote']",EvacuatedDay 9,9.26,2.1/8,Caleb,['Chan Loh'],0.3333333333333333
4,5,Original Tribes,4,Alecia,3-1,-,-,-,Alecia,-,Alecia,-,Alecia,-,-,-,-,-,Scot,,,,,[],False,{},False,{},True,0,False,False,,4,"""Signed, Sealed and Delivered""","March 9, 2016",Gondol,Gondol,"['Alecia', '3-1']",4th Voted OutDay 11,9.26,2.1/8,Alecia,['Gondol'],0.3333333333333333
5,6,Switched Tribes,5,Anna,5-1,-,Anna,Anna,-,Anna,-,Exiled,Anna,-,-,-,Anna,Peter,,,,,,[],False,{},False,{},True,1,False,False,,5,"""The Devils We Know""","March 16, 2016",None,"['Julia', 'Chan LohChallenge: New SchoolTwo tribe members would swim out and untie a net with fish puzzle pieces. After taking the net back to the shore, two other tribe members would untie the puzzle pieces from the net and hang them on hooks. They would then carry the log with the hooks to a puzzle station, where the last two tribe members would use the puzzle pieces to complete a puzzle. The first tribe to complete their puzzle wins immunity.']","['Anna', '5-1']",5th Voted OutDay 13,9.50,2.1/8,Anna,"['Julia', 'Chan Loh']",0.6428571428571428
6,7,Switched Tribes,6,Peter,4-2,-,Peter,Peter,-,Julia,-,Peter,Peter,-,-,-,Julia,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Play or Go Home""","March 23, 2016",Gondol,Chan Loh,"['Peter', '4-2']",6th Voted OutDay 16,9.31,2.1/8,Peter,['Chan Loh'],0.5
7,8,Merged Tribe,7,Neal,No Vote,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,,,,,[],False,{},False,{},False,2,True,False,,7,"""It's Merge Time""","March 30, 2016",None,Nick,"['Neal', 'No Vote']",Evacuated1st Jury MemberDay 19,9.16,2.0/7,Neal,['Nick'],0.09090909090909091
8,9,Merged Tribe,8,Nick,6-2-1-1,Nick,Nick,Jason,Nick,Nick,Aubry,Nick,Aubry,Nick,Debbie,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""The Jocks vs. the Pretty People""","April 6, 2016","Debbie,Julia, Nick,Scot, Tai",Tai,"['Nick', '6-2-1-1']",7th Voted Out2nd Jury MemberDay 22,8.98,1.9/7,Nick,['Tai'],0.1
9,10,Merged Tribe,9,Debbie,4-3-2,Debbie,Debbie,Cydney,Debbie,Scot,Cydney,Debbie,Cydney,Scot,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""It's Psychological Warfare""","April 13, 2016","Jason,Julia,Scot, Tai",Julia,"['Debbie', '4-3-2']",8th Voted Out3rd Jury MemberDay 24,8.39,1.9/7,Debbie,['Julia'],0.1111111111111111
