Voter,Tiebreak_1,Tribal_1,Tribal_2,Tiebreak_3,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tiebreak_15,Tribal_15,Final Tribal,Final Tribal,Final Tribal
Tribal #:,1,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,16,16
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Switched Tribes,Switched Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,1,2,3,3,4,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14
Voted out:,Tie,Darnell,Jennifer,Tie,Liz,Caleb,Alecia,Anna,Peter,Neal,Nick,Debbie,Scot,Julia,Jason,Joe,Tie,Cydney,Tai,Aubry,Michele
Vote:,3-3,4-0,3-2,2-2-2,3-0,No Vote,3-1,5-1,4-2,No Vote,6-2-1-1,4-3-2,4-2-2,5-2,4-2-1,No Vote,2-2,Tiebreaker,5-2-0,5-2-0,5-2-0
Michele,-,-,-,-,-,-,-,-,-,-,Nick,Debbie,Tai,Julia,Jason,-,Aubry,-,Jury Vote,Jury Vote,Jury Vote
Aubry,-,-,-,Peter,None,-,-,Anna,Peter,-,Nick,Debbie,Scot,Julia,Jason,-,Cydney,-,Jury Vote,Jury Vote,Jury Vote
Tai,-,-,-,-,-,-,-,Anna,Peter,-,Jason,Cydney,Scot,Julia,Michele,-,Cydney,-,Jury Vote,Jury Vote,Jury Vote
Cydney,Alecia,Darnell,Jennifer,-,-,-,Alecia,-,-,-,Nick,Debbie,Scot,Julia,Jason,-,Aubry,Voted out,,,Michele
Joe,-,-,-,Liz,Liz,-,-,Anna,Julia,-,Nick,Scot,Scot,Julia,Jason,Evacuated,,,,Aubry,
Jason,Alecia,Darnell,Jennifer,-,-,-,Alecia,-,-,-,Aubry,Cydney,Aubry,Tai,Joe,,,,,,Michele
Julia,-,-,-,-,-,-,-,Exiled,Peter,-,Nick,Debbie,Tai,Tai,,,,,,,Michele
Scot,Darnell,Darnell,Alecia,-,-,-,Alecia,Anna,Peter,-,Aubry,Cydney,Aubry,,,,,,,,Michele
Debbie,-,-,-,Liz,Liz,-,-,-,-,-,Nick,Scot,,,,,,,,,Michele
Nick,-,-,-,-,-,-,-,-,-,-,Debbie,,,,,,,,,Aubry,
Neal,-,-,-,Peter,Liz,-,-,-,-,Evacuated,,,,,,,,,None,None,None
Peter,-,-,-,Aubry,None,-,-,Anna,Julia,,,,,,,,,,,,
Anna,-,-,-,-,-,-,-,Peter,,,,,,,,,,,,,
Alecia,Darnell,None,Jennifer,-,-,-,Scot,,,,,,,,,,,,,,
Caleb,-,-,-,-,-,Evacuated,,,,,,,,,,,,,,,
Liz,-,-,-,Aubry,None,,,,,,,,,,,,,,,,
Jennifer,Darnell,Darnell,Alecia,,,,,,,,,,,,,,,,,,
Darnell,Alecia,None,,,,,,,,,,,,,,,,,,,
