,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Rachel Ako,Rachel,[],37,Los Angeles,CA,Recruiting Director,Takali,,,1st Voted OutDay 4,5,20.0,False
1,Mari Takahashi,Mari,[],31,Los Angeles,CA,Gamer,Vanua,,,2nd Voted OutDay 7,7,19.0,False
2,Paul Wachter,Paul,[],52,Sugarloaf Key,FL,Boat Mechanic,Takali,,,3rd Voted OutDay 10,6,18.0,False
3,Lucy Huang,Lucy,[],42,Diamond Bar,CA,Dietician,Takali,,,4th Voted OutDay 12,2,17.0,False
4,CeCe Taylor,CeCe,[],39,Granada Hills,CA,Insurance Adjuster,Takali,Vanua,,5th Voted OutDay 15,11,16.0,False
5,Figgy Figueroa,Figgy,[],23,Nashville,TN,Bartender,Vanua,Takali,,6th Voted OutDay 18,6,15.0,False
6,Michaela Bradshaw,Michaela,[],25,Fort Worth,TX,Vacation Club Saleswoman,Vanua,Ikabula,,7th Voted OutDay 20,4,14.0,False
7,Michelle Schubert,Michelle,[],28,Yakima,WA,Missionary Recruiter,Vanua,Vanua,Vinaka,8th Voted Out1st Jury MemberDay 23,10,13.0,False
8,Taylor Stocker,Taylor,[],24,Post Falls,ID,Snowboard Instructor,Vanua,Takali,Vinaka,9th Voted Out2nd Jury MemberDay 25,7,12.0,False
9,Chris Hammons,Chris,[],38,Moore,OK,Trial Lawyer,Takali,Vanua,Vinaka,10th Voted Out3rd Jury MemberDay 28,7,11.0,False
10,Jessica Lewis,Jessica,[],37,Voorheesville,NY,Assistant District Attorney,Takali,Takali,Vinaka,Eliminated4th Jury MemberDay 30,9,10.0,False
11,Zeke Smith,Zeke,[],28,Brooklyn,NY,Asset Manager,Vanua,Vanua,Vinaka,11th Voted Out5th Jury MemberDay 33,14,9.0,False
12,Will Wahl,Will,[],18,Long Valley,NJ,High School Student,Vanua,Ikabula,Vinaka,12th Voted Out6th Jury MemberDay 34,6,8.0,False
13,Sunday Burquest,Sunday,[],45,Otsego,MN,Youth Pastor,Takali,Ikabula,Vinaka,13th Voted Out7th Jury MemberDay 35,5,7.0,False
14,Jay Starrett,Jay,[],26,Fort Lauderdale,FL,Real Estate Agent,Vanua,Ikabula,Vinaka,14th Voted Out8th Jury MemberDay 36,10,6.0,False
15,Bret LaBelle,Bret,[],42,Dedham,MA,Police Sergeant,Takali,Ikabula,Vinaka,15th Voted Out9th Jury MemberDay 37,5,5.0,False
16,David Wright,David,[],42,Sherman Oaks,CA,Television Writer,Takali,Vanua,Vinaka,16th Voted Out10th Jury MemberDay 38,10,4.0,False
17,Hannah Shapiro,Hannah,[],24,West Hollywood,CA,Barista,Vanua,Ikabula,Vinaka,Runners-Up,13,3.0,False
18,Ken McNickle,Ken,[],33,Denver,CO,Model,Takali,Takali,Vinaka,Runners-Up,3,2.0,False
19,Adam Klein,Adam,[],25,San Francisco,CA,Homeless Shelter Manager,Vanua,Takali,Vinaka,Sole Survivor,6,1.0,False
