,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Rachel Ako,Rachel,[],37,Los Angeles,CA,Recruiting Director,Takali,,,1st Voted OutDay 4,5,20.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,5
1,Mari Takahashi,Mari,[],31,Los Angeles,CA,Gamer,Vanua,,,2nd Voted OutDay 7,7,19.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,7
2,Paul Wachter,Paul,[],52,Sugarloaf Key,FL,Boat Mechanic,Takali,,,3rd Voted OutDay 10,6,18.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,6
3,Lucy Huang,Lucy,[],42,Diamond Bar,CA,Dietician,Takali,,,4th Voted OutDay 12,2,17.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,1,2,0.25,,0,2
4,CeCe Taylor,CeCe,[],39,Granada Hills,CA,Insurance Adjuster,Takali,Vanua,,5th Voted OutDay 15,11,16.0,False,False,False,5,False,5,1,0,0,6,5,1,4,0,2,2,0.2,,0,11
5,Figgy Figueroa,Figgy,[],23,Nashville,TN,Bartender,Vanua,Takali,,6th Voted OutDay 18,6,15.0,False,False,False,6,False,6,4,0,0,7,6,4,2,0,1,1,0.5833333333333334,,0,6
6,Michaela Bradshaw,Michaela,[],25,Fort Worth,TX,Vacation Club Saleswoman,Vanua,Ikabula,,7th Voted OutDay 20,4,14.0,False,False,False,7,False,7,5,0,0,8,7,5,2,0,1,1,0.5714285714285714,,0,4
7,Michelle Schubert,Michelle,[],28,Yakima,WA,Missionary Recruiter,Vanua,Vanua,Vinaka,8th Voted Out1st Jury MemberDay 23,10,13.0,False,False,False,8,True,7,5,1,0,9,8,5,3,0,2,1,0.5,0.0,0,10
8,Taylor Stocker,Taylor,[],24,Post Falls,ID,Snowboard Instructor,Vanua,Takali,Vinaka,9th Voted Out2nd Jury MemberDay 25,7,12.0,False,False,False,9,True,7,5,2,0,10,9,5,4,0,1,3,0.4444444444444444,0.0,0,7
9,Chris Hammons,Chris,[],38,Moore,OK,Trial Lawyer,Takali,Vanua,Vinaka,10th Voted Out3rd Jury MemberDay 28,7,11.0,False,False,False,10,True,7,3,3,0,11,10,3,7,0,4,3,0.2,0.0,0,7
10,Jessica Lewis,Jessica,[],37,Voorheesville,NY,Assistant District Attorney,Takali,Takali,Vinaka,Eliminated4th Jury MemberDay 30,9,10.0,False,False,False,11,True,7,3,4,0,12,10,3,7,0,4,3,0.18181818181818182,0.0,0,9
11,Zeke Smith,Zeke,[],28,Brooklyn,NY,Asset Manager,Vanua,Vanua,Vinaka,11th Voted Out5th Jury MemberDay 33,14,9.0,False,False,False,12,True,7,5,5,0,13,11,5,6,0,4,2,0.3333333333333333,0.0,0,10
12,Will Wahl,Will,[],18,Long Valley,NJ,High School Student,Vanua,Ikabula,Vinaka,12th Voted Out6th Jury MemberDay 34,6,8.0,False,False,False,13,True,7,5,6,1,14,12,5,7,0,4,3,1.2307692307692308,2.0,0,6
13,Sunday Burquest,Sunday,[],45,Otsego,MN,Youth Pastor,Takali,Ikabula,Vinaka,13th Voted Out7th Jury MemberDay 35,5,7.0,False,False,False,14,True,7,3,7,0,15,13,3,10,0,5,5,0.14285714285714285,0.0,0,5
14,Jay Starrett,Jay,[],26,Fort Lauderdale,FL,Real Estate Agent,Vanua,Ikabula,Vinaka,14th Voted Out8th Jury MemberDay 36,10,6.0,False,False,False,15,True,7,5,8,2,16,14,5,9,0,3,6,1.3333333333333333,2.0,0,10
15,Bret LaBelle,Bret,[],42,Dedham,MA,Police Sergeant,Takali,Ikabula,Vinaka,15th Voted Out9th Jury MemberDay 37,5,5.0,False,False,False,16,True,7,3,9,0,17,15,3,12,0,5,7,0.125,0.0,0,5
16,David Wright,David,[],42,Sherman Oaks,CA,Television Writer,Takali,Vanua,Vinaka,16th Voted Out10th Jury MemberDay 38,10,4.0,False,False,False,17,True,7,3,10,2,18,16,3,13,0,12,1,1.0,1.5,0,10
17,Hannah Shapiro,Hannah,[],24,West Hollywood,CA,Barista,Vanua,Ikabula,Vinaka,Runners-Up,13,3.0,False,False,True,18,True,7,5,10,0,19,16,5,11,0,9,2,0.23529411764705882,0.0,0,9
18,Ken McNickle,Ken,[],33,Denver,CO,Model,Takali,Takali,Vinaka,Runners-Up,3,2.0,False,False,True,18,True,7,3,10,4,19,16,3,13,0,12,1,1.5294117647058822,2.4,0,3
19,Adam Klein,Adam,[],25,San Francisco,CA,Homeless Shelter Manager,Vanua,Takali,Vinaka,Sole Survivor,6,1.0,False,True,True,18,True,7,5,10,1,19,16,5,11,0,9,2,0.7058823529411765,0.8,10,6
