,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Adam,Hannah,Ken,David,Bret,Jay,Sunday,Will,Zeke,Jessica,Chris,Taylor,Michelle,Michaela,Figgy,CeCe,Lucy,Paul,Mari,Rachel,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Rachel,5-3-1-1,-,-,Rachel,Rachel,Rachel,-,CeCe,-,-,CeCe,Rachel,-,-,-,-,David,CeCe,Rachel,-,Sunday,[],False,{},False,{},True,0,False,False,,1,"""May the Best Generation Win""","September 21, 2016",Vanua,Vanua,"['Rachel', '5-3-1-1']",1st Voted OutDay 4,9.46,2.3/8,Rachel,['Vanua'],0.5
1,2,Original Tribes,2,Mari,7-3,Figgy,Mari,-,-,-,Mari,-,Mari,Figgy,-,-,Mari,Mari,Mari,Mari,-,-,-,Figgy,,[],False,{},False,{},True,0,False,False,,2,"""Love Goggles""","September 28, 2016",Takali,Takali,"['Mari', '7-3']",2nd Voted OutDay 7,9.16,2.1/8,Mari,['Takali'],0.5
2,3,Original Tribes,3,Paul,6-3,-,-,Paul,Paul,CeCe,-,Paul,-,-,Paul,CeCe,-,-,-,-,Paul,Paul,CeCe,,,[],False,{},False,{},True,0,False,False,,3,"""Your Job Is Recon""","October 5, 2016",Vanua,Vanua,"['Paul', '6-3']",3rd Voted OutDay 10,8.52,1.8/7,Paul,['Vanua'],0.5
3,4,Original Tribes,4,Lucy,2-1-0,-,-,Jessica,Lucy,Jessica,-,Jessica,-,-,CeCe,Jessica,-,-,-,-,Lucy,Jessica,,,,[],False,{},False,{},True,0,False,False,,4,"""Who's the Sucker at the Table?""","October 12, 2016",Takali,Vanua,"['Lucy', '2-1-0']",4th Voted OutDay 12,9.06,2.0/8,Lucy,['Vanua'],0.5
4,5,Expanded Tribes,5,CeCe,4-1,-,-,-,CeCe,-,-,-,-,CeCe,-,CeCe,-,CeCe,-,-,Michelle,,,,,[],False,{},False,{},True,1,False,False,,5,"""Idol Search Party""","October 19, 2016",None,"['Ikabula', 'Takali']","['CeCe', '4-1']",5th Voted OutDay 15,8.59,1.9/7,CeCe,"['Ikabula', 'Takali']",0.6666666666666666
5,6,Expanded Tribes,6,Figgy,3-2,Figgy,-,Figgy,-,-,-,-,-,-,Figgy,-,Ken,-,-,Ken,,,,,,[],False,{},False,{},True,1,False,False,,6,"""The Truth Works Well""","October 26, 2016","['Vanua', 'Ikabula']","['Ikabula', 'Vanua']","['Figgy', '3-2']",6th Voted OutDay 18,8.30,1.9/7,Figgy,"['Ikabula', 'Vanua']",0.6666666666666666
6,7,Expanded Tribes,7,Michaela,4-2,-,Bret,-,-,Michaela,Michaela,Michaela,Michaela,-,-,-,-,-,Bret,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""I Will Destroy You""","November 2, 2016","['Vanua', 'Ikabula']","['Takali', 'Vanua']","['Michaela', '4-2']",7th Voted OutDay 20,6.93,1.6/5,Michaela,"['Takali', 'Vanua']",0.6666666666666666
7,8,Merged Tribe,8,Michelle,9-4,Michelle,Michelle,Michelle,Michelle,Michelle,Adam,Michelle,Adam,Michelle,Michelle,Michelle,Adam,Adam,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""I'm the Kingpin""","November 9, 2016",None,Will,"['Michelle', '9-4']",8th Voted Out1st Jury MemberDay 23,8.81,1.9/7,Michelle,['Will'],0.07692307692307693
8,9,Merged Tribe,9,Taylor,7-4-1,Taylor,Jay,Taylor,Taylor,Jay,Taylor,Taylor,Jay,Taylor,Jay,Taylor,Adam,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Still Throwin' Punches""","November 16, 2016","Bret, Chris,David, Ken,Sunday,Taylor",Ken,"['Taylor', '7-4-1']",9th Voted Out2nd Jury MemberDay 25,8.49,1.8/6,Taylor,['Ken'],0.08333333333333333
9,10,Merged Tribe,10,Chris,7-4,Chris,Chris,Chris,Chris,Jessica,Jessica,Jessica,Chris,Chris,Chris,Jessica,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Million Dollar Gamble""","November 23, 2016","Adam, Bret,Hannah,Sunday,Zeke",David,"['Chris', '7-4']",10th Voted Out3rd Jury MemberDay 28,7.59,1.5/5,Chris,['David'],0.09090909090909091
