Voter,Tribal_1,Tribal_2,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tiebreak_11,Tiebreak_11,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tribal_15,Tribal_16,Tribal_17,Final Tribal,Final Tribal,Final Tribal
Tribal #:,1,2,3,4,5,6,7,8,9,10,11,11,11,12,13,14,15,16,17,18,18,18
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Expanded Tribes,Expanded Tribes,Expanded Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,2,3,4,5,6,7,8,9,10,10,10,10,11,12,12,13,13,13,13,13,13
Voted out:,Rachel,Mari,Paul,Lucy,CeCe,Figgy,Michaela,Michelle,Taylor,Chris,Tie,Deadlock,Jessica,Zeke,Will,Sunday,Jay,Bret,David,Ken,Hannah,Adam
Vote:,5-3-1-1,7-3,6-3,2-1-0,4-1,3-2,4-2,9-4,7-4-1,7-4,5-5,4-4,Lottery,5-0,6-2,4-2-0,5-0,3-2,3-1,10-0-0,10-0-0,10-0-0
Adam,-,Figgy,-,-,-,Figgy,-,Michelle,Taylor,Chris,Zeke,Zeke,-,Zeke,Will,Sunday,Jay,David,David,Jury Vote,Jury Vote,Jury Vote
Hannah,-,Mari,-,-,-,-,Bret,Michelle,Jay,Chris,Zeke,None,-,Zeke,Will,Sunday,Jay,Bret,David,Jury Vote,Jury Vote,Jury Vote
Ken,Rachel,-,Paul,Jessica,-,Figgy,-,Michelle,Taylor,Chris,Zeke,Zeke,-,Zeke,Will,Sunday,Jay,Bret,David,Jury Vote,Jury Vote,Jury Vote
David,Rachel,-,Paul,Lucy,CeCe,-,-,Michelle,Taylor,Chris,Zeke,Zeke,-,Zeke,Will,Sunday,Jay,Bret,Adam,,,Adam
Bret,Rachel,-,CeCe,Jessica,-,-,Michaela,Michelle,Jay,Jessica,Hannah,Hannah,-,Hannah,Will,David,Jay,David,,,,Adam
Jay,-,Mari,-,-,-,-,Michaela,Adam,Taylor,Jessica,Hannah,Hannah,-,Hannah,David,David,Ken,,,,,Adam
Sunday,CeCe,-,Paul,Jessica,-,-,Michaela,Michelle,Taylor,Jessica,Hannah,Hannah,-,Hannah,Will,Jay,,,,,,Adam
Will,-,Mari,-,-,-,-,Michaela,Adam,Jay,Chris,Hannah,Hannah,-,Zeke,David,,,,,,,Adam
Zeke,-,Figgy,-,-,CeCe,-,-,Michelle,Taylor,Chris,Hannah,None,-,Hannah,,,,,,,,Adam
Jessica,CeCe,-,Paul,CeCe,-,Figgy,-,Michelle,Jay,Chris,Zeke,Zeke,Eliminated,,,,,,,,,Adam
Chris,Rachel,-,CeCe,Jessica,CeCe,-,-,Michelle,Taylor,Jessica,,,,,,,,,,,,Adam
Taylor,-,Mari,-,-,-,Ken,-,Adam,Adam,,,,,,,,,,,,,Adam
Michelle,-,Mari,-,-,CeCe,-,-,Adam,,,,,,,,,,,,,,Adam
Michaela,-,Mari,-,-,-,-,Bret,,,,,,,,,,,,,,,
Figgy,-,Mari,-,-,-,Ken,,,,,,,,,,,,,,,,
CeCe,David,-,Paul,Lucy,Michelle,,,,,,,,,,,,,,,,,
Lucy,CeCe,-,Paul,Jessica,,,,,,,,,,,,,,,,,,
Paul,Rachel,-,CeCe,,,,,,,,,,,,,,,,,,,
Mari,-,Figgy,,,,,,,,,,,,,,,,,,,,
Rachel,Sunday,,,,,,,,,,,,,,,,,,,,,
