,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Ciera Eastin,Ciera,"['Blood vs. Water', 'Cambodia']",27,Salem,OR,,Mana,,,,1st Voted OutDay 3,9,20.0,True
1,Tony Vlachos,Tony,['Cagayan'],42,Jersey City,NJ,,Mana,,,,2nd Voted OutDay 6,7,19.0,True
2,Caleb Reynolds,Caleb,['Kaôh Rōng'],28,Hopkinsville,KY,,Mana,Mana,,,3rd Voted OutDay 9,5,18.0,True
3,Malcolm Freberg,Malcolm,"['Philippines', 'Caramoan']",29,Hermosa Beach,CA,,Mana,Nuku,,,4th Voted OutDay 11,5,17.0,True
4,J.T. Thomas,J.T.,"['Tocantins', 'Heroes vs. Villains']",31,Mobile,AL,,Nuku,Nuku,,,5th Voted OutDay 13,3,16.0,True
5,Sandra Diaz-Twine,Sandra,"['Pearl Islands', 'Heroes vs. Villains']",41,Fayetteville,NC,,Mana,Nuku,Nuku,,6th Voted OutDay 16,5,15.0,True
6,Jeff Varner,Jeff,"['The Australian Outback', 'Cambodia']",50,High Point,NC,,Mana,Nuku,Nuku,,7th Voted OutDay 18,6,14.0,True
7,Hali Ford,Hali,['Worlds Apart'],26,Knoxville,TN,,Mana,Mana,Mana,Maku Maku,8th Voted Out1st Jury MemberDay 21,8,13.0,True
8,Ozzy Lusth,Ozzy,"['Cook Islands', 'Micronesia', 'South Pacific']",34,Venice,CA,,Nuku,Tavua,Nuku,Maku Maku,9th Voted Out2nd Jury MemberDay 24,7,12.0,True
9,Debbie Wanner,Debbie,['Kaôh Rōng'],50,Reading,PA,,Nuku,Mana,Nuku,Maku Maku,10th Voted Out3rd Jury MemberDay 26,6,11.0,True
10,Zeke Smith,Zeke,['Millennials vs. Gen X'],28,Brooklyn,NY,,Nuku,Tavua,Nuku,Maku Maku,11th Voted Out4th Jury MemberDay 29,11,10.0,True
11,Sierra Dawn Thomas,Sierra,['Worlds Apart'],29,Roy,UT,,Nuku,Mana,Mana,Maku Maku,12th Voted Out5th Jury MemberDay 32,15,9.0,True
12,Andrea Boehlke,Andrea,"['Redemption Island', 'Caramoan']",27,New York City,NY,,Nuku,Tavua,Nuku,Maku Maku,13th Voted Out6th Jury MemberDay 33,14,8.0,True
13,Michaela Bradshaw,Michaela,['Millennials vs. Gen X'],25,Fort Worth,TX,,Mana,Nuku,Mana,Maku Maku,14th Voted Out7th Jury MemberDay 35,11,7.0,True
14,Cirie Fields,Cirie,"['Panama', 'Micronesia', 'Heroes vs. Villains']",45,Norwalk,CT,,Nuku,Tavua,Mana,Maku Maku,Eliminated8th Jury MemberDay 36,0,6.0,True
15,Aubry Bracco,Aubry,['Kaôh Rōng'],30,Cambridge,MA,,Mana,Nuku,Mana,Maku Maku,15th Voted Out9th Jury MemberDay 37,9,5.0,True
16,Tai Trang,Tai,['Kaôh Rōng'],52,San Francisco,CA,,Nuku,Mana,Nuku,Maku Maku,16th Voted Out10th Jury MemberDay 38,12,4.0,True
17,Troyzan Robertson,Troyzan,['One World'],54,Miami,FL,,Mana,Tavua,Mana,Maku Maku,SecondRunner-Up,2,3.0,True
18,Brad Culpepper,Brad,['Blood vs. Water'],47,Tampa,FL,,Nuku,Mana,Mana,Maku Maku,Runner-Up,2,2.0,True
19,Sarah Lacina,Sarah,['Cagayan'],31,Marion,IA,,Nuku,Tavua,Nuku,Maku Maku,Sole Survivor,3,1.0,True
