,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Sarah,Brad,Troyzan,Tai,Aubry,Cirie,Michaela,Andrea,Sierra,Zeke,Debbie,Ozzy,Hali,Jeff,Sandra,J.T.,Malcolm,Caleb,Tony,Ciera,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Ciera,9-1,-,-,Ciera,-,Ciera,-,Ciera,-,-,-,-,-,Ciera,Ciera,Ciera,-,Ciera,Ciera,Ciera,Michaela,[],False,{},False,{},True,0,False,False,,1,"""The Stakes Have Been Raised""","March 8, 2017",Nuku,"['', 'Nuku']","['Ciera', '9-1']",1st Voted OutDay 3,7.64,1.7/6,Ciera,['Nuku'],0.5
1,2,Original Tribes,1,Tony,7-2,-,-,Tony,-,Tony,-,Tony,-,-,-,-,-,Tony,Tony,Aubry,-,Tony,Tony,Aubry,,[],False,{},False,{},True,0,False,False,,1,"""The Stakes Have Been Raised""","March 8, 2017",Nuku,Nuku,"['Tony', '7-2']",2nd Voted OutDay 6,7.64,1.7/6,Tony,['Nuku'],0.5
2,3,Expanded Tribes,2,Caleb,5-1,-,Caleb,-,Caleb,-,-,-,-,Caleb,-,Caleb,-,Caleb,-,-,-,-,Hali,,,[],False,{},False,{},True,1,False,False,,2,"""Survivor Jackpot""","March 15, 2017","['Nuku', 'Tavua']","['Nuku', 'Tavua']","['Caleb', '5-1']",3rd Voted OutDay 9,7.87,1.7/7,Caleb,"['Nuku', 'Tavua']",0.6666666666666666
3,4,Expanded Tribes,3,Malcolm,5-0,-,Malcolm,-,Malcolm,Sierra,-,Sierra,-,Malcolm,-,Malcolm,-,Malcolm,Sierra,Sierra,Sierra,Sierra,,,,[],False,{},False,{},True,1,False,False,,3,"""The Tables Have Turned""","March 22, 2017","['Nuku', 'Mana']",Tavua,"['Malcolm', '5-0']",4th Voted OutDay 11,8.10,1.7/7,Malcolm,['Tavua'],0.3333333333333333
4,5,Expanded Tribes,4,J.T.,3-2,-,-,-,-,Michaela,-,J.T.,-,-,-,-,-,-,J.T.,J.T.,Michaela,,,,,[],False,{},False,{},True,1,False,False,,4,"""Dirty Deed""","March 29, 2017","['Tavua', 'Nuku']","['Mana', 'Tavua']","['J.T.', '3-2']",5th Voted OutDay 13,8.26,1.8/7,J.T.,"['Mana', 'Tavua']",0.6666666666666666
5,6,Switched Tribes,5,Sandra,5-2,Sandra,-,-,Sandra,-,-,-,Sandra,-,Sandra,Exiled,Sandra,-,Tai,Tai,,,,,,[],False,{},False,{},True,2,False,False,,5,"""Vote Early, Vote Often""","April 5, 2017",None,"['Debbie', 'Mana']","['Sandra', '5-2']",6th Voted OutDay 16,8.40,1.7/7,Sandra,"['Debbie', 'Mana']",0.625
6,7,Switched Tribes,6,Jeff,6-0,Jeff,-,-,Jeff,-,-,-,Jeff,-,Jeff,Jeff,Jeff,-,None,,,,,,,[],False,{},False,{},True,2,False,False,,6,"""What Happened on Exile, Stays on Exile""","April 12, 2017",Nuku,Mana,"['Jeff', '6-0']",7th Voted OutDay 18,8.31,1.7/7,Jeff,['Mana'],0.5
7,8,Merged Tribe,7,Hali,7-4-2,Michaela,Hali,Hali,Hali,Hali,Michaela,Zeke,Michaela,Hali,Michaela,Hali,Hali,Zeke,,,,,,,,[],False,{},False,{},True,3,True,False,,7,"""There's a New Sheriff in Town""","April 19, 2017",None,Andrea,"['Hali', '7-4-2']",8th Voted Out1st Jury MemberDay 21,7.92,1.7/7,Hali,['Andrea'],0.07692307692307693
8,9,Merged Tribe,7,Ozzy,7-4-1-1,Ozzy,Ozzy,Ozzy,Ozzy,Zeke,Sierra,Zeke,Zeke,Ozzy,Aubry,Ozzy,Zeke,,,,,,,,,[],False,{},False,{},True,3,True,False,,7,"""There's a New Sheriff in Town""","April 19, 2017","Andrea,DebbieOzzy, Tai,Troyzan,Zeke",Tai,"['Ozzy', '7-4-1-1']",9th Voted Out2nd Jury MemberDay 24,7.92,1.7/7,Ozzy,['Tai'],0.08333333333333333
9,10,Merged Tribe,8,Debbie,6-5,Debbie,Andrea,Andrea,Andrea,Debbie,Debbie,Debbie,Debbie,Andrea,Debbie,Andrea,,,,,,,,,,[],False,{},False,{},True,3,True,False,,8,"""A Line Drawn in Concrete""","April 26, 2017","Andrea,Aubry, Brad,Debbie,Sierra",Troyzan,"['Debbie', '6-5']",10th Voted Out3rd Jury MemberDay 26,8.49,1.8/7,Debbie,['Troyzan'],0.09090909090909091
