,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Ben,JP,5.0,0.8,Ryan,8.0,0.625,Devon,8.0,0.625,Lauren,5.0,0.6,Ashley,8.0,0.5
Chrissy,JP,7.0,0.8571428571428571,Ryan,10.0,0.8,Ashley,8.0,0.5,Mike,8.0,0.5,Ben,9.0,0.4444444444444444
Ryan,JP,6.0,0.8333333333333334,Chrissy,10.0,0.8,Lauren,7.0,0.7142857142857143,Devon,10.0,0.7,Ben,8.0,0.625
Devon,Lauren,7.0,1.0,Ashley,7.0,0.7142857142857143,Ryan,10.0,0.7,Ben,8.0,0.625,Mike,8.0,0.5
Mike,Joe,5.0,0.8,Lauren,5.0,0.6,Ashley,7.0,0.5714285714285714,Chrissy,8.0,0.5,Ryan,8.0,0.5
Ashley,Lauren,5.0,1.0,Devon,7.0,0.7142857142857143,Mike,7.0,0.5714285714285714,Ben,8.0,0.5,Chrissy,8.0,0.5
Lauren,Devon,7.0,1.0,Ashley,5.0,1.0,Ryan,7.0,0.7142857142857143,Ben,5.0,0.6,Mike,5.0,0.6
Joe,Mike,5.0,0.8,Lauren,4.0,0.5,Devon,5.0,0.4,Ashley,6.0,0.3333333333333333,Ben,5.0,0.2
JP,Chrissy,7.0,0.8571428571428571,Ryan,6.0,0.8333333333333334,Ben,5.0,0.8,Devon,4.0,0.5,Ashley,5.0,0.4
Ali,Ryan,4.0,0.5,,,,,,,,,,,,
