,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Ben,Chrissy,Ryan,Devon,Mike,Ashley,Lauren,Joe,JP,Cole,Desi,Jessica,Ali,Roark,Alan,Patrick,Simone,Katrina,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Katrina,5-1,Katrina,Katrina,-,-,-,Katrina,-,-,Katrina,-,-,-,-,-,Katrina,-,-,Ashley,[],False,{},False,{},True,0,False,False,,1,"""I'm Not Crazy, I'm Confident""","September 27, 2017","['Soko', 'Levu']","['Soko', 'Yawa']","['Katrina', '5-1']",1st Voted OutDay 3,8.33,1.8/7,Katrina,"['Soko', 'Yawa']",0.6666666666666666
1,2,Original Tribes,2,Simone,5-1,-,-,Simone,Simone,-,-,Simone,-,-,-,-,-,Simone,-,-,Simone,Patrick,,[],False,{},False,{},True,0,False,False,,2,"""I'm a Wild Banshee""","October 4, 2017","['Soko', 'Levu']","['Soko', 'Levu']","['Simone', '5-1']",2nd Voted OutDay 6,8.15,1.6/6,Simone,"['Soko', 'Levu']",0.6666666666666666
2,3,Original Tribes,3,Patrick,4-1,-,-,Patrick,Patrick,-,-,Patrick,-,-,-,-,-,Patrick,-,-,Lauren,,,[],False,{},False,{},True,0,False,False,,3,"""My Kisses Are Very Private""","October 11, 2017","['Levu', 'Soko']","['Levu', 'Soko']","['Patrick', '4-1']",3rd Voted OutDay 8,8.02,1.7/7,Patrick,"['Levu', 'Soko']",0.6666666666666666
3,4,Switched Tribes,4,Alan,2-0,-,-,-,None,-,Joe,-,Alan,-,-,Alan,-,-,-,Joe,,,,[],False,{},False,{},True,1,False,False,,4,"""I Don't Like Having Snakes Around""","October 18, 2017",Yawa,"['Yawa', 'Soko']","['Alan', '2-0']",4th Voted OutDay 11,8.12,1.8/7,Alan,"['Yawa', 'Soko']",0.6666666666666666
4,5,Switched Tribes,5,Roark,3-2,-,Roark,Roark,-,-,-,-,-,Roark,-,-,-,Chrissy,Chrissy,,,,,[],False,{},False,{},True,1,False,False,,5,"""The Past Will Eat You Alive""","October 25, 2017","['Levu', 'Yawa']","['Yawa', 'Levu']","['Roark', '3-2']",5th Voted OutDay 14,8.22,1.7/7,Roark,"['Yawa', 'Levu']",0.6666666666666666
5,6,Switched Tribes,6,Ali,3-1,-,Ali,Ali,-,-,-,-,-,Ali,-,-,-,JP,,,,,,[],False,{},False,{},True,1,False,False,,6,"""This Is Why You Play Survivor""","November 1, 2017","['Soko', 'Yawa']","['Yawa', 'Levu']","['Ali', '3-1']",6th Voted OutDay 16,7.69,1.6/6,Ali,"['Yawa', 'Levu']",0.6666666666666666
6,7,Merged Tribe,7,Jessica,7-5,Jessica,Jessica,Jessica,Jessica,Chrissy,Jessica,Jessica,Chrissy,Jessica,Chrissy,Chrissy,Chrissy,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""Get to Gettin'""","November 8, 2017",None,Desi,"['Jessica', '7-5']",7th Voted OutDay 19,7.82,1.6/6,Jessica,['Desi'],0.08333333333333333
7,8,Merged Tribe,8,Desi,4-4-1-1,Desi,Joe,Desi,Desi,Joe,Joe,None,Ben,Desi,Joe,Lauren,,,,,,,,[],True,"{'Ben': 'Desi', 'Chrissy': 'Joe', 'Ryan': 'Desi', 'Devon': 'Desi', 'Mike': 'Joe', 'Ashley': 'Joe', 'Lauren': 'None', 'Joe': 'Ben', 'JP': 'Desi', 'Cole': 'Joe', 'Desi': 'Lauren'}",False,{},True,2,True,False,,8,"""Playing with the Devil""","November 15, 2017","Chrissy,Cole, Devon,JP, Ryan[Joe]",Cole,"['Desi', '4-4-1-1;7-1']",8th Voted Out1st Jury MemberDay 21,8.85,1.7/6,Desi,['Cole'],0.09090909090909091
8,9,Merged Tribe,9,Cole,7-1-0,Cole,Mike,Cole,Cole,Cole,Cole,Cole,Cole,Mike,Ben,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Fear of the Unknown""","November 22, 2017","Chrissy,Cole, JP,Joe, Mike",Lauren,"['Cole', '7-1-0']",9th Voted Out2nd Jury MemberDay 24,7.37,1.4/5,Cole,['Lauren'],0.1
9,10,Merged Tribe,10,JP,5-3-1,Mike,Joe,Mike,JP,JP,JP,JP,JP,Mike,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Buy One, Get One Free""","November 29, 2017","Lauren[Ashley,Ben, Devon]",Ashley,"['JP', '5-3-1']",10th Voted Out3rd Jury MemberDay 27,8.27,1.8/7,JP,['Ashley'],0.1111111111111111
