,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""Can You Reverse the Curse?""","February 28, 2018",Malolo,Naviti,Jacob,"['Gonzalez', '8-1']",1st Voted OutDay 3,8.19,1.7/7,['Naviti']
1,1,"""Can You Reverse the Curse?""","February 28, 2018",Naviti,Naviti,Donathan,"['Jacob', '5-2-1']",2nd Voted OutDay 6,8.19,1.7/7,['Naviti']
2,2,"""Only Time Will Tell""","March 7, 2018",Malolo,Malolo,Chris,"['Morgan', '4-3-1']",3rd Voted OutDay 9,8.23,1.7/7,['Malolo']
3,3,"""Trust Your Gut""","March 14, 2018",Naviti,Naviti,Kellyn,"['Brendan', '5-4']",4th Voted OutDay 12,8.39,1.7/7,['Naviti']
4,4,"""A Diamond in the Rough""","March 21, 2018",Naviti,Naviti,Stephanie,"['Stephanie', '7-1']",5th Voted OutDay 14,8.61,1.8/7,['Naviti']
5,5,"""Fate Is the Homie""","March 28, 2018",None,"['Yanuya', 'Naviti']",None,"['James', '4-1']",6th Voted OutDay 17,8.15,1.7/7,"['Yanuya', 'Naviti']"
6,6,"""Gotta Risk It for the Biscuit""","April 4, 2018","['Naviti', 'Yanuya']","['Yanuya', 'Malolo']",Kellyn,"['Bradley', '4-1']",7th Voted OutDay 19,8.42,1.7/7,"['Yanuya', 'Malolo']"
7,7,"""Fear Keeps You Sharp""","April 11, 2018",None,Kellyn,Chris,"['Chris', '10-2-0']",8th Voted Out1st Jury MemberDay 22,7.97,1.6/7,['Kellyn']
8,8,"""The Sea Slug Slugger""","April 18, 2018","Angela,Chelsea,Donathan,Laurel,Libby,Wendell",Angela,Jenna,"['Libby', '4-1-0']",9th Voted Out2nd Jury MemberDay 25,7.73,1.6/7,['Angela']
9,9,"""It's Like the Perfect Crime""","April 25, 2018","Chelsea,Jenna,Kellyn,Michael,Sebastian",Chelsea,Angela,"['Desiree', '8-2']",10th Voted Out3rd Jury MemberDay 27,7.81,1.6/7,['Chelsea']
10,10,"""The Finish Line Is in Sight""","May 2, 2018",None,Chelsea,None,"['Jenna', '3-1-0']",11th Voted Out4th Jury MemberDay 29,7.84,1.5/7,['Chelsea']
11,10,"""The Finish Line Is in Sight""","May 2, 2018",None,Domenick,None,"['Michael', '2-2-1-1;3-0']",12th Voted Out5th Jury MemberDay 29,7.84,1.5/7,['Domenick']
12,11,"""A Giant Game of Bumper Cars""","May 9, 2018","Sebastian[Domenick,Donathan,Wendell]",Domenick,Wendell,"['Chelsea', '5-3']",13th Voted Out6th Jury MemberDay 32,7.74,1.5/7,['Domenick']
13,12,"""Always Be Moving""","May 16, 2018","Domenick,Wendell[Laurel]",Laurel,Sebastian,"['Kellyn', '3-3-1;4-1']",14th Voted Out7th Jury MemberDay 35,7.54,1.5/6,['Laurel']
14,13,"""It Is Game Time Kids""","May 23, 2018","['Wendell', '[Angela,Sebastian]']","['Wendell', '']",None,"['Sebastian', '4-1-1']",15th Voted Out8th Jury MemberDay 36,7.31,1.4/6,['Wendell']
15,13,"""It Is Game Time Kids""","May 23, 2018",None,Wendell,None,"['Donathan', '4-0']",16th Voted Out9th Jury MemberDay 37,7.31,1.4/6,['Wendell']
16,13,"""It Is Game Time Kids""","May 23, 2018",None,Domenick,"Angela,Domenick,Laurel,Wendell","['Angela', 'No Vote']",Eliminated10th Jury MemberDay 38,7.31,1.4/6,['Domenick']
17,13,"""It Is Game Time Kids""","May 23, 2018",Jury Vote,Jury Vote,Jury Vote,"['Laurel', '6-5-0']",Second Runner-Up11th Jury MemberDay 39,7.31,1.4/6,[]
18,13,"""It Is Game Time Kids""","May 23, 2018",Jury Vote,Jury Vote,Jury Vote,"['Domenick', '6-5-0']",Runner-Up,7.31,1.4/6,[]
19,13,"""It Is Game Time Kids""","May 23, 2018",Jury Vote,Jury Vote,Jury Vote,"['Wendell', '6-5-0']",Sole Survivor,7.31,1.4/6,[]
20,14,"""Reunion""","May 23, 2018",,,,,,4.62,0.8/3,[]
