,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Stephanie Gonzalez,Stephanie,[],26,Ocala,FL,Graphic Saleswoman,Malolo,,,,1st Voted OutDay 3,8,20.0,False,False,False,5,False,5,1,0,0,6,5,1,4,0,2,2,0.2,,0,7
4,Stephanie Johnson,Stephanie,[],34,Chicago,IL,Yoga Instructor,Malolo,Malolo,,,5th Voted OutDay 14,7,16.0,False,False,False,5,False,5,1,0,0,6,5,1,4,0,2,2,0.2,,0,7
1,Jacob Derwin,Jacob,[],22,Brooklyn,NY,Music Teacher,Malolo,,,,2nd Voted OutDay 6,5,19.0,False,False,False,2,False,2,0,0,0,3,2,0,1,1,0,1,0.0,,0,5
2,Morgan Ricke,Morgan,[],29,Orlando,FL,Marine Animal Trainer,Naviti,Naviti,,,3rd Voted OutDay 9,4,18.0,False,False,False,3,False,3,2,0,0,4,3,2,1,0,0,1,0.6666666666666666,,0,4
3,Brendan Shapiro,Brendan,[],40,Herndon,VA,Physical Education Teacher,Malolo,Malolo,,,4th Voted OutDay 12,5,17.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,5
5,James Lim,James,[],24,New York City,NY,Business Analyst,Malolo,Naviti,Malolo,,6th Voted OutDay 17,6,15.0,False,False,False,6,False,6,2,0,0,7,6,2,4,0,3,1,0.3333333333333333,,0,6
6,Bradley Kleihege,Bradley,[],26,Los Angeles,CA,Law Student,Naviti,Malolo,Naviti,,7th Voted OutDay 19,8,14.0,False,False,False,7,False,7,4,0,0,8,7,4,3,0,2,1,0.5,,0,8
7,Chris Noble,Chris,[],27,Brooklyn,NY,Male Model,Naviti,Naviti,Yanuya,Lavita,8th Voted Out1st Jury MemberDay 22,10,13.0,False,False,False,8,True,7,6,1,0,9,8,6,0,2,0,0,0.625,0.0,0,10
8,Libby Vincek,Libby,[],24,Houston,TX,Social Media Strategist,Malolo,Naviti,Naviti,Lavita,9th Voted Out2nd Jury MemberDay 25,8,12.0,False,False,False,9,True,7,3,2,0,10,9,3,6,0,4,2,0.2777777777777778,0.0,0,8
9,Desiree Afuye,Desiree,[],21,Brooklyn,NY,Student,Naviti,Malolo,Malolo,Lavita,10th Voted Out3rd Jury MemberDay 27,10,11.0,False,False,False,10,True,7,4,3,0,11,10,4,6,0,4,2,0.35,0.0,0,10
10,Jenna Bowman,Jenna,[],23,Venice Beach,CA,Advertising Account Executive,Malolo,Malolo,Yanuya,Lavita,11th Voted Out4th Jury MemberDay 29,3,10.0,False,False,False,11,True,7,3,4,0,12,11,3,8,0,5,3,0.18181818181818182,0.0,0,3
11,Michael Yerger,Michael,[],18,Los Angeles,CA,Real Estate Agent,Malolo,Malolo,Malolo,Lavita,12th Voted Out5th Jury MemberDay 29,15,9.0,False,False,False,12,True,7,2,5,0,13,12,3,9,0,5,4,0.125,0.0,0,12
12,Chelsea Townsend,Chelsea,[],25,Los Angeles,CA,EMT/Pro Cheerleader,Naviti,Malolo,Naviti,Lavita,13th Voted Out6th Jury MemberDay 32,5,8.0,False,False,False,13,True,7,4,6,2,14,13,5,8,0,6,2,1.7307692307692308,3.1666666666666665,0,5
13,Kellyn Bechtold,Kellyn,[],30,Denver,CO,Career Counselor,Naviti,Malolo,Malolo,Lavita,14th Voted Out7th Jury MemberDay 35,8,7.0,False,False,False,14,True,7,4,7,1,15,14,5,9,0,6,3,1.1071428571428572,1.7142857142857142,0,4
14,Sebastian Noel,Sebastian,[],22,Satellite Beach,FL,Fishing Guide,Naviti,Malolo,Yanuya,Lavita,15th Voted Out8th Jury MemberDay 36,5,6.0,False,False,False,15,True,7,5,8,0,16,15,6,9,0,6,3,0.26666666666666666,0.0,0,5
15,Donathan Hurley,Donathan,[],25,Kimper,KY,Caretaker,Malolo,Naviti,Naviti,Lavita,16th Voted Out9th Jury MemberDay 37,11,5.0,False,False,False,16,True,7,3,9,0,17,16,4,11,1,6,5,0.15625,0.0,0,10
16,Angela Perkins,Angela,[],42,Cincinnati,OH,Army Veteran,Naviti,Naviti,Malolo,Lavita,Eliminated10th Jury MemberDay 38,3,4.0,False,False,False,17,True,7,5,9,1,17,16,6,9,1,4,5,0.96875,1.2222222222222223,0,3
17,Laurel Johnson,Laurel,[],29,Minneapolis,MN,Financial Consultant,Malolo,Naviti,Yanuya,Lavita,Second Runner-Up11th Jury MemberDay 39,3,3.0,False,False,True,18,True,7,4,10,1,19,16,5,11,0,10,1,0.5294117647058824,0.6,0,2
18,Domenick Abbate,Domenick,[],38,Nesconset,NY,Construction Supervisor,Naviti,Naviti,Naviti,Lavita,Runner-Up,2,2.0,False,False,True,18,True,7,5,10,3,19,16,6,10,0,8,2,1.2647058823529411,1.7,5,2
19,Wendell Holland,Wendell,[],33,Philadelphia,PA,Furniture Company Owner,Naviti,Naviti,Yanuya,Lavita,Sole Survivor,5,1.0,False,True,True,18,True,7,6,10,2,19,16,7,9,0,7,2,0.8235294117647058,0.9,6,5
