,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Wendell,Domenick,Laurel,Angela,Donathan,Sebastian,Kellyn,Chelsea,Michael,Jenna,Desiree,Libby,Chris,Bradley,James,Stephanie,Brendan,Morgan,Jacob,Gonzalez,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Gonzalez,8-1,-,-,Gonzalez,-,Gonzalez,-,-,-,Gonzalez,Gonzalez,-,Gonzalez,-,-,Gonzalez,Gonzalez,Gonzalez,-,Exiled,Donathan,[],False,{},False,{},True,0,False,False,,1,"""Can You Reverse the Curse?""","February 28, 2018",Malolo,Naviti,Jacob,"['Gonzalez', '8-1']",1st Voted OutDay 3,8.19,1.7/7,Gonzalez,['Naviti'],0.5
1,2,Original Tribes,1,Jacob,5-2-1,-,-,Jacob,-,Exiled,-,-,-,James,Jacob,-,James,-,-,Jacob,Jacob,Jacob,-,Michael,,[],False,{},False,{},True,0,False,False,,1,"""Can You Reverse the Curse?""","February 28, 2018",Naviti,Naviti,Donathan,"['Jacob', '5-2-1']",2nd Voted OutDay 6,8.19,1.7/7,Jacob,['Naviti'],0.5
2,3,Switched Tribes,2,Morgan,4-3-1,Angela,Angela,Morgan,Libby,Morgan,-,-,-,-,-,-,Morgan,Exiled,-,Morgan,-,-,Angela,,,[],False,{},False,{},True,1,False,False,,2,"""Only Time Will Tell""","March 7, 2018",Malolo,Malolo,Chris,"['Morgan', '4-3-1']",3rd Voted OutDay 9,8.23,1.7/7,Morgan,['Malolo'],0.5
3,4,Switched Tribes,3,Brendan,5-4,-,-,-,-,-,Brendan,Brendan,Brendan,Bradley,Bradley,Brendan,-,-,Brendan,-,Bradley,Bradley,,,,[],False,{},False,{},True,1,False,False,,3,"""Trust Your Gut""","March 14, 2018",Naviti,Naviti,Kellyn,"['Brendan', '5-4']",4th Voted OutDay 12,8.39,1.7/7,Brendan,['Naviti'],0.5
4,5,Switched Tribes,4,Stephanie,7-1,-,-,-,-,-,Stephanie,Stephanie,Stephanie,Stephanie,Stephanie,Stephanie,-,-,Stephanie,-,Desiree,,,,,[],False,{},False,{},True,1,False,False,,4,"""A Diamond in the Rough""","March 21, 2018",Naviti,Naviti,Stephanie,"['Stephanie', '7-1']",5th Voted OutDay 14,8.61,1.8/7,Stephanie,['Naviti'],0.5
5,6,Expanded Tribes,5,James,4-1,-,-,-,James,-,-,James,-,James,-,James,-,-,-,Desiree,,,,,,[],False,{},False,{},True,2,False,False,,5,"""Fate Is the Homie""","March 28, 2018",None,"['Yanuya', 'Naviti']",None,"['James', '4-1']",6th Voted OutDay 17,8.15,1.7/7,James,"['Yanuya', 'Naviti']",0.6666666666666666
6,7,Expanded Tribes,6,Bradley,4-1,-,Bradley,-,-,Bradley,-,-,Bradley,-,-,-,Bradley,-,Libby,,,,,,,[],False,{},False,{},True,2,False,False,,6,"""Gotta Risk It for the Biscuit""","April 4, 2018","['Naviti', 'Yanuya']","['Yanuya', 'Malolo']",Kellyn,"['Bradley', '4-1']",7th Voted OutDay 19,8.42,1.7/7,Bradley,"['Yanuya', 'Malolo']",0.6666666666666666
7,8,Merged Tribe,7,Chris,10-2,Chris,Chris,Chris,Libby,Chris,Chris,Chris,Chris,Chris,Chris,Libby,Chris,None,,,,,,,,[],False,{},False,{},True,3,True,False,,7,"""Fear Keeps You Sharp""","April 11, 2018",None,Kellyn,Chris,"['Chris', '10-2-0']",8th Voted Out1st Jury MemberDay 22,7.97,1.6/7,Chris,['Kellyn'],0.07692307692307693
8,9,Merged Tribe,8,Libby,4-1-0,Michael,Michael,Libby,Michael,Michael,Michael,Libby,Libby,Wendell,Michael,Libby,Michael,,,,,,,,,[],False,{},False,{},True,3,True,False,,8,"""The Sea Slug Slugger""","April 18, 2018","Angela,Chelsea,Donathan,Laurel,Libby,Wendell",Angela,Jenna,"['Libby', '4-1-0']",9th Voted Out2nd Jury MemberDay 25,7.73,1.6/7,Libby,['Angela'],0.08333333333333333
9,10,Merged Tribe,9,Desiree,8-2,Desiree,Desiree,Desiree,None,Desiree,Desiree,Desiree,Michael,Desiree,Desiree,Michael,,,,,,,,,,[],False,{},False,{},True,3,True,False,,9,"""It's Like the Perfect Crime""","April 25, 2018","Chelsea,Jenna,Kellyn,Michael,Sebastian",Chelsea,Angela,"['Desiree', '8-2']",10th Voted Out3rd Jury MemberDay 27,7.81,1.6/7,Desiree,['Chelsea'],0.09090909090909091
10,11,Merged Tribe,10,Jenna,3-1-0,-,-,-,Jenna,Sebastian,Jenna,-,Jenna,-,Donathan,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,10,"""The Finish Line Is in Sight""","May 2, 2018",None,Chelsea,None,"['Jenna', '3-1-0']",11th Voted Out4th Jury MemberDay 29,7.84,1.5/7,Jenna,['Chelsea'],0.1
11,12,Merged Tribe,10,Michael,2-2-1-1,Michael,Michael,Kellyn,-,-,-,Laurel,-,Wendell,,,,,,,,,,,,[],True,"{'Wendell': 'Michael', 'Domenick': 'Michael', 'Laurel': 'Kellyn', 'Angela': '-', 'Donathan': '-', 'Sebastian': '-', 'Kellyn': 'Laurel', 'Chelsea': '-', 'Michael': 'Wendell'}",False,{},True,3,True,False,,10,"""The Finish Line Is in Sight""","May 2, 2018",None,Domenick,None,"['Michael', '2-2-1-1;3-0']",12th Voted Out5th Jury MemberDay 29,7.84,1.5/7,Michael,['Domenick'],0.1111111111111111
12,13,Merged Tribe,11,Chelsea,5-3,Chelsea,Chelsea,Chelsea,Wendell,Chelsea,Chelsea,Wendell,Wendell,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,11,"""A Giant Game of Bumper Cars""","May 9, 2018","Sebastian[Domenick,Donathan,Wendell]",Domenick,Wendell,"['Chelsea', '5-3']",13th Voted Out6th Jury MemberDay 32,7.74,1.5/7,Chelsea,['Domenick'],0.125
13,14,Merged Tribe,12,Kellyn,3-3-1,Kellyn,Kellyn,Kellyn,Donathan,Domenick,Donathan,Donathan,,,,,,,,,,,,,,[],True,"{'Wendell': 'Kellyn', 'Domenick': 'Kellyn', 'Laurel': 'Kellyn', 'Angela': 'Donathan', 'Donathan': 'Domenick', 'Sebastian': 'Donathan', 'Kellyn': 'Donathan'}",False,{},True,3,True,False,,12,"""Always Be Moving""","May 16, 2018","Domenick,Wendell[Laurel]",Laurel,Sebastian,"['Kellyn', '3-3-1;4-1']",14th Voted Out7th Jury MemberDay 35,7.54,1.5/6,Kellyn,['Laurel'],0.14285714285714285
14,15,Merged Tribe,13,Sebastian,4-1-1,Sebastian,Sebastian,Sebastian,Sebastian,Domenick,Donathan,,,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,13,"""It Is Game Time Kids""","May 23, 2018","['Wendell', '[Angela,Sebastian]']","['Wendell', '']",None,"['Sebastian', '4-1-1']",15th Voted Out8th Jury MemberDay 36,7.31,1.4/6,Sebastian,['Wendell'],0.16666666666666666
15,16,Merged Tribe,13,Donathan,4-0,Donathan,Donathan,Donathan,Donathan,Laurel,,,,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,13,"""It Is Game Time Kids""","May 23, 2018",None,Wendell,None,"['Donathan', '4-0']",16th Voted Out9th Jury MemberDay 37,7.31,1.4/6,Donathan,['Wendell'],0.2
16,17,Merged Tribe,13,Angela,No Vote,-,-,-,,,,,,,,,,,,,,,,,,['Angela'],False,{},False,{},False,3,True,False,,13,"""It Is Game Time Kids""","May 23, 2018",None,Domenick,"Angela,Domenick,Laurel,Wendell","['Angela', 'No Vote']",Eliminated10th Jury MemberDay 38,7.31,1.4/6,Angela,['Domenick'],0.3333333333333333
17,18,Merged Tribe,13,Wendell,6-5-0,Jury Vote,Jury Vote,Wendell,Wendell,Wendell,Wendell,Wendell,Wendell,Domenick,Domenick,Domenick,Domenick,Domenick,,,,,,,,[],False,{},False,{},True,3,True,True,"['Laurel', 'Domenick', 'Wendell']",13,"""It Is Game Time Kids""","May 23, 2018",Jury Vote,Jury Vote,Jury Vote,"['Wendell', '6-5-0']",Sole Survivor,7.31,1.4/6,Wendell,[],
