,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe1,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Pat Cusack,Pat,[],41,Watervliet,NY,Maintenance Manager,David,,,EvacuatedDay 3,0,20.0,False
1,Jessica Peet,Jessica,[],19,Lakeland,FL,Waitress,David,,,1st Voted OutDay 6,5,19.0,False
2,Jeremy Crawford,Jeremy,[],39,New York City,NY,Attorney,Goliath,,,2nd Voted OutDay 9,9,18.0,False
3,Bi Nguyen,Bi,[],28,Houston,TX,MMA Fighter,David,,,QuitDay 10,0,17.0,False
4,Natalia Azoqa,Natalia,[],25,Irvine,CA,Industrial Engineer,Goliath,Vuku,,3rd Voted OutDay 11,3,16.0,False
5,Natalie Cole,Natalie,[],57,Los Angeles,CA,Publishing CEO,Goliath,Jabeni,,4th Voted OutDay 15,4,15.0,False
6,Lyrsa Torres,Lyrsa,[],36,Boston,MA,Airline Agent,David,Jabeni,,5th Voted OutDay 17,9,14.0,False
7,Elizabeth Olson,Elizabeth,[],31,Longview,TX,Kitchen Staff,David,Vuku,Kalokalo,6th Voted Out1st Jury MemberDay 20,13,13.0,False
8,John Hennigan,John,[],38,Los Angeles,CA,Professional Wrestler,Goliath,Tiva,Kalokalo,7th Voted Out2nd Jury MemberDay 22,3,12.0,False
9,Dan Rengering,Dan,[],27,Gainesville,FL,S.W.A.T. Officer,Goliath,Tiva,Kalokalo,8th Voted Out3rd Jury MemberDay 25,6,11.0,False
10,Alec Merlino,Alec,[],24,San Clemente,CA,Bartender,Goliath,Vuku,Kalokalo,9th Voted Out4th Jury MemberDay 28,9,10.0,False
11,Carl Boudreaux,Carl,[],41,Houston,TX,Truck Driver,David,Vuku,Kalokalo,10th Voted Out5th Jury MemberDay 30,6,9.0,False
12,Gabby Pascuzzi,Gabby,[],25,Denver,CO,Technical Writer,David,Tiva,Kalokalo,11th Voted Out6th Jury MemberDay 32,2,8.0,False
13,Christian Hubicki,Christian,[],32,Tallahassee,FL,Robotics Scientist,David,Tiva,Kalokalo,12th Voted Out7th Jury MemberDay 35,18,7.0,False
14,Davie Rickenbacker,Davie,[],30,Atlanta,GA,Social Media Manager,David,Vuku,Kalokalo,13th Voted Out8th Jury MemberDay 36,7,6.0,False
15,Alison Raybould,Alison,[],28,Chapel Hill,NC,Physician,Goliath,Tiva,Kalokalo,14th Voted Out9th Jury MemberDay 37,13,5.0,False
16,Kara Kay,Kara,[],30,San Diego,CA,Realtor,Goliath,Vuku,Kalokalo,Eliminated10th Jury MemberDay 38,0,4.0,False
17,Angelina Keeley,Angelina,[],28,San Clemente,CA,Financial Consultant,Goliath,Jabeni,Kalokalo,SecondRunner-Up,6,3.0,False
18,Mike White,Mike,[],47,Los Angeles,CA,Filmmaker,Goliath,Jabeni,Kalokalo,Runner-Up,1,2.0,False
19,Nick Wilson,Nick,[],27,Williamsburg,KY,Public Defender,David,Jabeni,Kalokalo,Sole Survivor,0,1.0,False
