,Tribal #:,Tribe Status:,Episode #:,Voted Out:,Vote:,Nick,Mike,Angelina,Kara,Alison,Davie,Christian,Gabby,Carl,Alec,Dan,John,Elizabeth,Lyrsa,Natalie,Natalia,Bi,Jeremy,Jessica,Pat,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Pat,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,[],False,{},False,{},False,0,False,False,,1,"""Appearances Are Deceiving""","September 26, 2018","['David', 'Goliath']","['', 'Goliath']","['Pat', 'No Vote']",EvacuatedDay 3,7.83,1.7/7,Pat,['Goliath'],0.5
1,2,Original Tribes,2,Jessica,5-4,Jessica,-,-,-,-,Lyrsa,Jessica,Jessica,Lyrsa,-,-,-,Jessica,Jessica,-,-,Lyrsa,-,Lyrsa,,[],False,{},False,{},True,0,False,False,,2,"""The Chicken Has Flown the Coop""","October 3, 2018",Goliath,Goliath,"['Jessica', '5-4']",1st Voted OutDay 6,7.27,1.5/7,Jessica,['Goliath'],0.5
2,3,Original Tribes,3,Jeremy,9-1,-,Jeremy,Jeremy,Jeremy,Jeremy,-,-,-,-,Jeremy,Jeremy,Jeremy,-,-,Jeremy,Jeremy,-,Natalie,,,[],False,{},False,{},True,0,False,False,,3,"""I Am Goliath Strong""","October 10, 2018",David,David,"['Jeremy', '9-1']",2nd Voted OutDay 9,7.28,1.4/6,Jeremy,['David'],0.5
3,4,Original Tribes,4,Bi,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,['Bi'],False,{},False,{},False,0,False,False,,4,"""Time to Bring About the Charmpocalypse""","October 17, 2018",,Carl,"['Bi', 'No Vote']",QuitDay 10,7.21,1.4/6,Bi,['Carl'],0.14285714285714285
4,5,Expanded Tribes,4,Natalia,3-1-1,-,-,-,Davie,-,Natalia,-,-,Exiled,Natalia,-,-,Natalia,-,-,Elizabeth,,,,,[],False,{},False,{},True,1,False,False,,4,"""Time to Bring About the Charmpocalypse""","October 17, 2018","['Tiva', '']","['Tiva', 'Jabeni']","['Natalia', '3-1-1']",3rd Voted OutDay 11,7.21,1.4/6,Natalia,"['Tiva', 'Jabeni']",0.6666666666666666
5,6,Expanded Tribes,5,Natalie,3-2,Natalie,Natalie,Lyrsa,-,-,-,-,-,-,-,-,-,-,Natalie,Lyrsa,,,,,,[],False,{},False,{},True,1,False,False,,5,"""Jackets and Eggs""","October 24, 2018","['Vuku', 'Jabeni']","['Vuku', 'Tiva']","['Natalie', '3-2']",4th Voted OutDay 15,7.37,1.5/6,Natalie,"['Vuku', 'Tiva']",0.6666666666666666
6,7,Expanded Tribes,6,Lyrsa,3-1,Lyrsa,Lyrsa,Lyrsa,-,-,-,-,-,-,-,-,-,-,Angelina,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Aren't Brochachos Just Adorable?""","October 31, 2018","['Tiva', 'Jabeni']","['Tiva', 'Vuku']","['Lyrsa', '3-1']",5th Voted OutDay 17,7.06,1.3/6,Lyrsa,"['Tiva', 'Vuku']",0.6666666666666666
7,8,Merged Tribe,7,Elizabeth,12-1,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Elizabeth,Angelina,,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""There's Gonna Be Tears Shed""","November 7, 2018",None,Alison,"['Elizabeth', '12-1']",6th Voted Out1st Jury MemberDay 20,7.69,1.6/7,Elizabeth,['Alison'],0.07692307692307693
8,9,Merged Tribe,8,John,3-0-0,John,Christian,Christian,Christian,Christian,John,John,Angelina,Angelina,Christian,Christian,Christian,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""You Get What You Give""","November 14, 2018","Alec, Alison,Christian,Gabby,John, Nick",Dan,"['John', '3-0-0']",7th Voted Out2nd Jury MemberDay 22,7.20,1.4/6,John,['Dan'],0.08333333333333333
9,10,Merged Tribe,9,Dan,6-3-2,Dan,Christian,Christian,Angelina,None,Dan,Dan,Dan,Dan,Angelina,Christian,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Breadth-First Search""","November 21, 2018","Alec, Dan,Davie,Kara, Mike",Alec,"['Dan', '6-3-2']",8th Voted Out3rd Jury MemberDay 25,7.09,1.3/6,Dan,['Alec'],0.09090909090909091
