,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Chris,Rick,1.0,1.0,0.0,,,,,,,,,,,,1.0,1.0,
Chris,Lauren,0.0,1.0,0.0,,,,,,,,,,,,0.0,0.0,
Chris,Wardog,0.0,1.0,0.0,,,,,,,,,,,,,,
Chris,Kelley,0.0,1.0,0.0,,,,,,,,,,,,,,
Chris,David,1.0,1.0,0.0,,,,,,,,,,,,,,
Chris,Wendy,0.0,0.0,1.0,,,,,,,,,,,,,,
Chris,Keith,1.0,0.0,,,,,,,,,,,,,,,
Chris,Reem,0.0,,,,,,,,,,,,,,,,
Rick,Lauren,0.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Rick,Wardog,0.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,
Rick,Kelley,0.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,,,,,
Rick,David,1.0,1.0,1.0,1.0,,,1.0,0.0,1.0,1.0,,,,,,,
Rick,Wendy,0.0,0.0,0.0,,,,,,,,,,,,,,
Rick,Keith,1.0,0.0,,,,,,,,,,,,,,,
Rick,Reem,0.0,,,,,,,,,,,,,,,,
Lauren,Wardog,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,
Lauren,Kelley,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Lauren,David,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,,,,,,,
Lauren,Wendy,0.0,0.0,0.0,,,0.0,,,,,,,,,,,
Lauren,Keith,0.0,0.0,,,,,,,,,,,,,,,
Lauren,Reem,0.0,,,,,,,,,,,,,,,,
Wardog,Kelley,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
Wardog,David,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,,,,,,,
Wardog,Wendy,0.0,0.0,0.0,,,0.0,,,,,,,,,,,
Wardog,Keith,0.0,0.0,,,,,,,,,,,,,,,
Wardog,Reem,0.0,,,,,,,,,,,,,,,,
Kelley,David,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,,,,,,,
Kelley,Wendy,0.0,0.0,0.0,,,0.0,,,,,,,,,,,
Kelley,Keith,0.0,0.0,,,,,,,,,,,,,,,
Kelley,Reem,0.0,,,,,,,,,,,,,,,,
David,Wendy,0.0,0.0,0.0,,,0.0,,,,,,,,,,,
David,Keith,1.0,0.0,,,,,,,,,,,,,,,
David,Reem,0.0,,,,,,,,,,,,,,,,
Wendy,Keith,0.0,0.0,,,,,,,,,,,,,,,
Wendy,Reem,1.0,,,,,,,,,,,,,,,,
Keith,Reem,0.0,,,,,,,,,,,,,,,,
Gavin,Victoria,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,
Gavin,Eric,,,,,1.0,1.0,1.0,0.0,,,,,,,,,
Gavin,Wendy,,,,,1.0,1.0,,,,,,,,,,,
Gavin,Aubry,,,,,0.0,,,,,,,,,,,,
