,Idx,Episode,Air date,Left Game,Finish,Reward,Immunity,Voted Out(Vote),Status,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""It Smells Like Success""","February 20, 2019",,,Kama,Kama,"['Reem', '4-3-1-1']",1st Voted Out1st Jury MemberDay 3,7.75,1.6/7,['Kama']
1,2,"""One of Us Is Going to Win the War""","February 27, 2019",None,None,Kama,Kama,"['Keith', '6-1-1']",2nd Voted OutDay 6,7.07,1.5/7,['Kama']
2,3,"""Betrayals Are Going to Get Exposed""","March 6, 2019",None,None,Manu,Kama,"['Chris', '5-2']",3rd Voted OutRemoved from JuryDay 8,7.25,1.5/6,['Kama']
3,4,"""I Need a Dance Partner""","March 13, 2019",None,None,None,"['Kama', 'Manu']","['Rick', '3-2']",4th Voted OutDay 11,7.53,1.5/7,"['Kama', 'Manu']"
4,5,"""It's Like the Worst Cocktail Party Ever""","March 20, 2019",None,None,"['Kama', 'Manu']","['Kama', 'Lesu']","['Aubry', '4-1']",5th Voted Out2nd Jury MemberDay 13,7.05,1.3/6,"['Kama', 'Lesu']"
5,5,"""It's Like the Worst Cocktail Party Ever""","March 20, 2019",None,None,"['Kama', 'Manu']",Kama,"['Wendy', '4-4;6-0']",6th Voted OutDay 16,7.05,1.3/6,['Kama']
6,6,"""There's Always a Twist""","March 27, 2019","['Rick', 'Keith', 'Wendy']","['1st ReturneeDay 17', 'QuitDay 17']",None,Julie,"['Joe', '6-3-2-2']",7th Voted Out3rd Jury MemberDay 19,7.75,1.6/8,['Julie']
7,7,"""I'm the Puppet Master""","April 3, 2019",None,None,"Aurora,Eric, Julia,Rick,Victoria,Wardog",Aurora,"['Eric', '8-2-2']",8th Voted Out4th Jury MemberDay 22,7.41,1.5/7,['Aurora']
8,8,"""Y'all Making Me Crazy""","April 10, 2019",None,None,None,Gavin,"['Julia', '9-1-0']",9th Voted Out5th Jury MemberDay 23,7.59,1.5/7,['Gavin']
9,9,"""Blood of a Blindside""","April 17, 2019",None,None,None,Aurora,"['David', '8-2']",10th Voted Out6th Jury MemberDay 25,7.83,1.5/8,['Aurora']
10,9,"""Blood of a Blindside""","April 17, 2019",None,None,"Gavin,Kelley,Lauren[Julie]",Rick,"['Kelley', '5-4']",11th Voted Out7th Jury MemberDay 27,7.83,1.5/8,['Rick']
11,10,"""Fasten Your Seatbelts""","April 24, 2019",None,None,"Julie,Lauren,Rick,Wardog",Rick,"['Wardog', '6-2']",12th Voted Out8th Jury MemberDay 29,7.50,1.5/7,['Rick']
12,11,"""Awkward""","May 1, 2019",None,None,"Ron[Gavin,Julie]",Gavin,"['Ron', '3-1-0']",13th Voted Out9th Jury MemberDay 31,7.34,1.4/7,['Gavin']
13,12,"""Idol or Bust""","May 8, 2019",None,None,"Gavin[Lauren,Victoria]",Rick,"['Aurora', '5-1']",14th Voted Out10th Jury MemberDay 34,7.28,1.5/7,['Rick']
14,13,"""I See the Million Dollars""","May 15, 2019","['Reem', 'Aubry', 'Joe', 'Eric', 'Julia', 'David', 'Kelley', 'Wardog', 'Ron', 'Aurora', 'Chris']","['EliminatedDay 35', '2nd ReturneeDay 35']","['Julie', '[Chris,Lauren]']","['Julie', '']","['Victoria', '2-0-0']",15th Voted Out11th Jury MemberDay 36,7.21,1.5/7,['Julie']
15,13,"""I See the Million Dollars""","May 15, 2019",,,None,Rick,"['Lauren', '2-0']",16th Voted Out12th Jury MemberDay 37,7.21,1.5/7,['Rick']
16,13,"""I See the Million Dollars""","May 15, 2019",,,None,Chris(Julie),"['Rick', 'No Vote']",Eliminated13th Jury MemberDay 38,7.21,1.5/7,['Chris']
17,13,"""I See the Million Dollars""","May 15, 2019",Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Julie', '9-4-0']",SecondRunner-Up,7.21,1.5/7,[]
18,13,"""I See the Million Dollars""","May 15, 2019",Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Gavin', '9-4-0']",Runner-Up,7.21,1.5/7,[]
19,13,"""I See the Million Dollars""","May 15, 2019",Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Chris', '9-4-0']",Sole Survivor,7.21,1.5/7,[]
20,14,"""Reunion""","May 15, 2019",,,,,,,4.64,0.9/4,[]
