,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,Edge ofExtinction Status,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Reem Daly,Reem,[],46,Ashburn,VA,Sales Representative,Manu,,,1st Voted OutDay 3,Eliminated1st Jury MemberDay 35,4,18.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,4
1,Keith Sowell,Keith,[],19,Durham,NC,Pre-Med Student,Manu,,,2nd Voted OutDay 6,QuitDay 17,6,17.0,False,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,6
2,Aubry Bracco,Aubry,"['Kaôh Rōng', 'Game Changers']",32,Los Angeles,CA,,Kama,Manu,,5th Voted OutDay 13,Eliminated2nd Jury MemberDay 35,4,16.0,True,False,False,5,False,5,4,0,0,6,5,4,1,0,0,1,0.7,,0,4
3,Wendy Diaz,Wendy,[],25,Bell,CA,Small Business Owner,Manu,Manu,,6th Voted OutDay 16,QuitDay 17,15,15.0,False,False,False,6,False,6,1,0,0,7,6,1,5,0,1,4,0.08333333333333333,,0,9
4,Joe Anglim,Joe,"['Worlds Apart', 'Cambodia']",29,Ogden,UT,,Kama,Kama,Vata,7th Voted Out3rd Jury MemberDay 19,EliminatedDay 35,6,14.0,True,False,False,7,True,6,6,1,0,8,7,6,1,0,0,1,0.8571428571428571,0.0,0,6
5,Eric Hafemann,Eric,[],35,Livermore,CA,Firefighter,Kama,Manu,Vata,8th Voted Out4th Jury MemberDay 22,EliminatedDay 35,8,13.0,False,False,False,8,True,6,4,2,0,9,8,4,4,0,2,2,0.4375,0.0,0,8
6,Julia Carter,Julia,[],25,Bethesda,MD,Medical Assistant,Kama,Kama,Vata,9th Voted Out5th Jury MemberDay 23,EliminatedDay 35,9,12.0,False,False,False,9,True,6,6,3,0,10,9,6,3,0,2,1,0.6666666666666666,0.0,0,9
7,David Wright,David,['Millennials vs. Gen X'],44,Sherman Oaks,CA,,Manu,Lesu,Vata,10th Voted Out6th Jury MemberDay 25,EliminatedDay 35,12,11.0,True,False,False,10,True,6,1,4,0,11,10,1,9,0,6,3,0.05,0.0,0,12
8,Kelley Wentworth,Kelley,"['San Juan del Sur', 'Cambodia']",31,Seattle,WA,,Manu,Lesu,Vata,11th Voted Out7th Jury MemberDay 27,EliminatedDay 35,14,10.0,True,False,False,11,True,6,1,5,0,12,11,1,10,0,7,3,0.045454545454545456,0.0,0,14
9,Wardog DaSilva,Wardog,[],38,Los Angeles,CA,Law Student/Former Military,Manu,Lesu,Vata,12th Voted Out8th Jury MemberDay 29,EliminatedDay 35,8,9.0,False,False,False,12,True,6,1,6,0,13,12,1,11,0,8,3,0.041666666666666664,0.0,0,8
10,Ron Clark,Ron,[],46,Atlanta,GA,Teacher,Kama,Kama,Vata,13th Voted Out9th Jury MemberDay 31,EliminatedDay 35,3,8.0,False,False,False,13,True,6,6,7,0,14,13,6,7,0,5,2,0.46153846153846156,0.0,0,2
11,Aurora McCreary,Aurora,[],32,Orlando,FL,Divorce Lawyer,Kama,Kama,Vata,14th Voted Out10th Jury MemberDay 34,EliminatedDay 35,12,7.0,False,False,False,14,True,6,6,8,2,15,14,6,8,0,4,4,1.8571428571428572,2.5,0,12
12,Victoria Baamonde,Victoria,[],23,Bronx,NY,Waitress,Kama,Manu,Vata,15th Voted Out11th Jury MemberDay 36,,2,6.0,False,False,False,15,True,6,4,9,0,16,15,4,11,0,8,3,0.23333333333333334,0.0,0,2
13,Lauren O'Connell,Lauren,[],21,Waco,TX,Student,Manu,Lesu,Vata,16th Voted Out12th Jury MemberDay 37,,11,5.0,False,False,False,16,True,6,1,10,0,17,16,1,15,0,10,5,0.03125,0.0,0,11
14,Rick Devens,Rick,[],34,Macon,GA,Morning News Anchor,Manu,Lesu,Vata,"['4th Voted OutDay 11', 'Eliminated13th Jury MemberDay 38']","['1st ReturneeDay 17', '']",12,4.0,False,False,False,"[4, 17]",True,4,0,10,4,15,14,0,14,0,8,6,1.7142857142857142,2.4,0,12
15,Julie Rosenberg,Julie,[],46,New York City,NY,Toymaker,Kama,Kama,Vata,SecondRunner-Up,,1,3.0,False,False,True,18,True,6,6,11,2,19,16,6,10,0,5,5,1.3529411764705883,1.5454545454545454,0,1
16,Gavin Whitson,Gavin,[],23,Erwin,TN,YMCA Program Director,Kama,Manu,Vata,Runner-Up,,0,2.0,False,False,True,18,True,6,4,11,2,19,16,4,12,0,8,4,1.1470588235294117,1.4545454545454546,4,0
17,Chris Underwood,Chris,[],25,Greenville,SC,District Sales Manager,Manu,,Vata,"['3rd Voted OutDay 8', 'Sole Survivor']","['2nd ReturneeRemoved from JuryDay 35', '']",9,1.0,False,True,True,"[3, 18]",True,3,0,3,1,8,5,0,5,0,4,1,0.3333333333333333,0.6666666666666666,9,9
