,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Chris,Gavin,Julie,Rick,Lauren,Victoria,Aurora,Ron,Wardog,Kelley,David,Julia,Eric,Joe,Wendy,Aubry,Keith,Reem,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Left Game,Finish,Reward,Immunity,Voted Out(Vote),Status,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Reem,4-3-1-1,Reem,-,-,Reem,Wendy,-,-,-,Wendy,Wendy,Reem,-,-,-,Lauren,-,Reem,Kelley,[],False,{},False,{},True,0,False,False,,1,"""It Smells Like Success""","February 20, 2019",,,Kama,Kama,"['Reem', '4-3-1-1']",1st Voted Out1st Jury MemberDay 3,7.75,1.6/7,Reem,['Kama'],0.5
1,2,Original Tribes,2,Keith,6-1-1,Keith,-,-,Keith,Keith,-,-,-,Keith,Keith,Keith,-,-,-,Kelley,-,Wendy,,[],False,{},False,{},True,0,False,False,,2,"""One of Us Is Going to Win the War""","February 27, 2019",None,None,Kama,Kama,"['Keith', '6-1-1']",2nd Voted OutDay 6,7.07,1.5/7,Keith,['Kama'],0.5
2,3,Original Tribes,3,Chris,5-2,Kelley,-,-,Chris,Chris,-,-,-,Chris,Chris,Chris,-,-,-,Kelley,-,,,[],False,{},False,{},True,0,False,False,,3,"""Betrayals Are Going to Get Exposed""","March 6, 2019",None,None,Manu,Kama,"['Chris', '5-2']",3rd Voted OutRemoved from JuryDay 8,7.25,1.5/6,Chris,['Kama'],0.5
3,4,Expanded Tribes,4,Rick,3-2,,-,-,Lauren,Rick,-,-,-,Rick,Rick,Lauren,-,-,-,-,-,,,[],False,{},False,{},True,1,False,False,,4,"""I Need a Dance Partner""","March 13, 2019",None,None,None,"['Kama', 'Manu']","['Rick', '3-2']",4th Voted OutDay 11,7.53,1.5/7,Rick,"['Kama', 'Manu']",0.6666666666666666
4,5,Expanded Tribes,5,Aubry,4-1,,Aubry,-,,-,Aubry,-,-,-,-,-,-,Aubry,-,Aubry,Wendy,,,[],False,{},False,{},True,1,False,False,,5,"""It's Like the Worst Cocktail Party Ever""","March 20, 2019",None,None,"['Kama', 'Manu']","['Kama', 'Lesu']","['Aubry', '4-1']",5th Voted Out2nd Jury MemberDay 13,7.05,1.3/6,Aubry,"['Kama', 'Lesu']",0.6666666666666666
5,6,Expanded Tribes,5,Wendy,4-4,,Lauren,-,,Wendy,Lauren,-,-,Wendy,Wendy,Wendy,-,Lauren,-,Lauren,,,,[],True,"{'Gavin': 'Lauren', 'Julie': '-', 'Lauren': 'Wendy', 'Victoria': 'Lauren', 'Aurora': '-', 'Ron': '-', 'Wardog': 'Wendy', 'Kelley': 'Wendy', 'David': 'Wendy', 'Julia': '-', 'Eric': 'Lauren', 'Joe': '-', 'Wendy': 'Lauren'}",False,{},True,1,False,False,,5,"""It's Like the Worst Cocktail Party Ever""","March 20, 2019",None,None,"['Kama', 'Manu']",Kama,"['Wendy', '4-4;6-0']",6th Voted OutDay 16,7.05,1.3/6,Wendy,['Kama'],0.3333333333333333
6,7,Merged Tribe,6,Joe,6-3-2-2,,Joe,Joe,Kelley,David,Joe,Rick,Joe,David,David,Kelley,Joe,Joe,Rick,,,,,"['Wendy', 'Keith']",False,{},False,{},True,2,True,False,,6,"""There's Always a Twist""","March 27, 2019","['Rick', 'Keith', 'Wendy']","['1st ReturneeDay 17', 'QuitDay 17']",None,Julie,"['Joe', '6-3-2-2']",7th Voted Out3rd Jury MemberDay 19,7.75,1.6/8,Joe,['Julie'],0.07692307692307693
7,8,Merged Tribe,7,Eric,8-2-2,,Eric,Lauren,Lauren,Eric,Eric,Eric,Kelley,Eric,Eric,Eric,Eric,Kelley,,,,,,[],False,{},False,{},True,2,True,False,,7,"""I'm the Puppet Master""","April 3, 2019",None,None,"Aurora,Eric, Julia,Rick,Victoria,Wardog",Aurora,"['Eric', '8-2-2']",8th Voted Out4th Jury MemberDay 22,7.41,1.5/7,Eric,['Aurora'],0.08333333333333333
8,9,Merged Tribe,8,Julia,9-1-0,,Julia,Julia,Julia,Julia,Julia,David,Julia,Julia,Julia,Julia,Kelley,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Y'all Making Me Crazy""","April 10, 2019",None,None,None,Gavin,"['Julia', '9-1-0']",9th Voted Out5th Jury MemberDay 23,7.59,1.5/7,Julia,['Gavin'],0.09090909090909091
9,10,Merged Tribe,9,David,8-2,,David,David,Wardog,David,David,David,David,David,David,Wardog,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Blood of a Blindside""","April 17, 2019",None,None,None,Aurora,"['David', '8-2']",10th Voted Out6th Jury MemberDay 25,7.83,1.5/8,David,['Aurora'],0.1
