,Chris,Gavin,Julie,Rick,Lauren,Victoria,Aurora,Ron,Wardog,Kelley,David,Julia,Eric,Joe,Wendy,Aubry,Keith,Reem
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
5,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False
6,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False
7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
8,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
9,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
10,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
11,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
12,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
13,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
14,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
15,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
16,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
