,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Dean,Elaine,1.0,,0.0,0.0,,,,1.0,0.0,,,1.0,1.0,0.0,,,
Dean,Karishma,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,
Dean,Missy,1.0,,0.0,0.0,,,,1.0,0.0,,,,,,,,
Dean,Aaron,0.0,,1.0,0.0,,,,1.0,1.0,0.0,,,,,,,
Dean,Tom,1.0,,1.0,0.0,1.0,,,,,,,,,,,,
Dean,Chelsea,1.0,,0.0,1.0,,,,,,,,,,,,,
Dean,Vince,1.0,,0.0,,,,,,,,,,,,,,
Dean,Ronnie,0.0,,,,,,,,,,,,,,,,
Elaine,Karishma,1.0,,1.0,1.0,,,,0.0,0.0,,1.0,0.0,0.0,,,,
Elaine,Missy,1.0,,1.0,1.0,,1.0,,1.0,0.0,,0.0,,,,,,
Elaine,Aaron,0.0,,0.0,1.0,,1.0,,1.0,0.0,,,,,,,,
Elaine,Tom,1.0,,0.0,1.0,,,,,,,,,,,,,
Elaine,Chelsea,1.0,,1.0,0.0,,,,,,,,,,,,,
Elaine,Vince,1.0,,0.0,,,,,,,,,,,,,,
Elaine,Ronnie,0.0,,,,,,,,,,,,,,,,
Karishma,Missy,1.0,,1.0,1.0,,,,0.0,1.0,,0.0,,,,,,
Karishma,Aaron,0.0,,0.0,1.0,,,,0.0,0.0,,,,,,,,
Karishma,Tom,1.0,,0.0,1.0,0.0,,,,,,,,,,,,
Karishma,Chelsea,1.0,,1.0,0.0,,,,,,,,,,,,,
Karishma,Vince,1.0,,0.0,,,,,,,,,,,,,,
Karishma,Ronnie,0.0,,,,,,,,,,,,,,,,
Missy,Aaron,0.0,,0.0,1.0,,1.0,,1.0,0.0,,,,,,,,
Missy,Tom,1.0,,0.0,1.0,,,,,,,,,,,,,
Missy,Chelsea,1.0,,1.0,0.0,,,,,,,,,,,,,
Missy,Vince,1.0,,0.0,,,,,,,,,,,,,,
Missy,Ronnie,0.0,,,,,,,,,,,,,,,,
Aaron,Tom,0.0,,1.0,1.0,,,,,,,,,,,,,
Aaron,Chelsea,0.0,,0.0,0.0,,,,,,,,,,,,,
Aaron,Vince,0.0,,0.0,,,,,,,,,,,,,,
Aaron,Ronnie,1.0,,,,,,,,,,,,,,,,
Tom,Chelsea,1.0,,0.0,0.0,,,,,,,,,,,,,
Tom,Vince,1.0,,0.0,,,,,,,,,,,,,,
Tom,Ronnie,0.0,,,,,,,,,,,,,,,,
Chelsea,Vince,1.0,,0.0,,,,,,,,,,,,,,
Chelsea,Ronnie,0.0,,,,,,,,,,,,,,,,
Vince,Ronnie,0.0,,,,,,,,,,,,,,,,
Tommy,Noura,,1.0,,,,,,0.0,1.0,,,1.0,1.0,1.0,,1.0,
Tommy,Lauren,,1.0,,,,1.0,,1.0,0.0,,,1.0,1.0,1.0,,1.0,
Tommy,Janet,,1.0,,,,,,0.0,1.0,,,1.0,0.0,1.0,,0.0,
Tommy,Dan,,1.0,,,,1.0,,1.0,1.0,,,0.0,0.0,0.0,,,
Tommy,Jamal,,0.0,,,,,,0.0,,,,,,,,,
Tommy,Kellee,,1.0,,,,,,0.0,,,,,,,,,
Tommy,Jack,,0.0,,,,,,,,,,,,,,,
Tommy,Jason,,1.0,,,,,,,,,,,,,,,
Tommy,Molly,,0.0,,,,,,,,,,,,,,,
Noura,Lauren,,1.0,,,,,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,
Noura,Janet,,1.0,,,,,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,,0.0,
