,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Ronnie Bardah,Ronnie,[],36,Henderson,NV,Professional Poker Player,Lairo,,,1st Voted OutDay 3,7,20.0,False
1,Molly Byman,Molly,[],28,Durham,NC,Law Student,Vokai,,,2nd Voted OutDay 6,7,19.0,False
2,Vince Moua,Vince,[],27,Palo Alto,CA,Admissions Counselor,Lairo,,,3rd Voted OutDay 8,7,18.0,False
3,Chelsea Walker,Chelsea,[],27,Los Angeles,CA,Digital Content Creator,Lairo,,,4th Voted OutDay 11,6,17.0,False
4,Tom Laidlaw,Tom,[],60,Greenwich,CT,Former NHL Player,Lairo,Lairo,,5th Voted OutDay 14,6,16.0,False
5,Jason Linden,Jason,[],32,New York City,NY,Personal Injury Lawyer,Vokai,Vokai,,6th Voted OutDay 16,6,15.0,False
6,Jack Nichting,Jack,[],23,Harrisonburg,VA,Graduate Student,Vokai,Lairo,,7th Voted Out1st Jury MemberDay 19,2,14.0,False
7,Kellee Kim,Kellee,[],29,Philadelphia,PA,MBA Student,Vokai,Lairo,Lumuwaku,8th Voted Out2nd Jury MemberDay 22,8,13.0,False
8,Jamal Shipman,Jamal,[],33,Providence,RI,College Administrator,Vokai,Lairo,Lumuwaku,9th Voted Out3rd Jury MemberDay 24,6,12.0,False
9,Aaron Meredith,Aaron,[],36,Warwick,RI,Gym Owner,Lairo,Vokai,Lumuwaku,10th Voted Out4th Jury MemberDay 27,5,11.0,False
10,Missy Byrd,Missy,[],24,Tacoma,WA,Air Force Veteran,Lairo,Vokai,Lumuwaku,11th Voted Out5th Jury MemberDay 27,3,10.0,False
11,Elizabeth Beisel,Elizabeth,[],26,Saunderstown,RI,Olympic Medalist,Lairo,Vokai,Lumuwaku,12th Voted Out6th Jury MemberDay 30,8,9.0,False
12,Karishma Patel,Karishma,[],37,Houston,TX,Personal Injury Lawyer,Lairo,Lairo,Lumuwaku,13th Voted Out7th Jury MemberDay 32,22,8.0,False
13,Elaine Stott,Elaine,[],41,Rockholds,KY,Factory Worker,Lairo,Vokai,Lumuwaku,14th Voted Out8th Jury MemberDay 35,8,7.0,False
14,Dan Spilo,Dan,[],48,Los Angeles,CA,Talent Manager,Vokai,Vokai,Lumuwaku,EjectedDay 36,5,6.0,False
15,Janet Carbin,Janet,[],59,Palm Bay,FL,Chief Lifeguard,Vokai,Lairo,Lumuwaku,15th Voted Out9th Jury MemberDay 37,8,5.0,False
16,Lauren Beck,Lauren,[],29,Glendale,CA,Nanny,Vokai,Vokai,Lumuwaku,Eliminated10th Jury MemberDay 38,1,4.0,False
17,Noura Salman,Noura,[],36,North Potomac,MD,Entrepreneur,Vokai,Lairo,Lumuwaku,SecondRunner-Up,6,3.0,False
18,Dean Kowalski,Dean,[],28,New York City,NY,Tech Salesman,Lairo,Lairo,Lumuwaku,Runner-Up,5,2.0,False
19,Tommy Sheehan,Tommy,[],26,Long Beach,NY,4th Grade Teacher,Vokai,Vokai,Lumuwaku,Sole Survivor,2,1.0,False
