,,14
Tommy,Dean,1.0
Dean,Noura,0.875
Tommy,Lauren,0.875
Dean,Lauren,0.8571428571428571
Elaine,Elizabeth,0.8571428571428571
Tommy,Noura,0.8571428571428571
Elizabeth,Missy,0.8333333333333334
Noura,Lauren,0.75
Elaine,Missy,0.7142857142857143
Karishma,Missy,0.6666666666666666
Lauren,Elaine,0.6666666666666666
Janet,Karishma,0.6666666666666666
Noura,Janet,0.6666666666666666
Elizabeth,Aaron,0.6
Janet,Dan,0.5714285714285714
Tommy,Dan,0.5714285714285714
Tommy,Janet,0.5714285714285714
Tommy,Elaine,0.5714285714285714
Dean,Dan,0.5
Dean,Elaine,0.5
Dean,Aaron,0.5
Lauren,Dan,0.5
Lauren,Janet,0.5
Missy,Aaron,0.5
Elaine,Aaron,0.5
Elaine,Karishma,0.5
Dean,Janet,0.4444444444444444
Noura,Dan,0.42857142857142855
Dean,Elizabeth,0.4
Tommy,Elizabeth,0.4
Noura,Elaine,0.4
Dean,Missy,0.4
Karishma,Elizabeth,0.3333333333333333
Dan,Elaine,0.3333333333333333
Karishma,Aaron,0.2
Tommy,Karishma,0.2
Noura,Karishma,0.2
Janet,Elaine,0.2
Dean,Karishma,0.1111111111111111
