,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Natalie,Michele,1.0,,,,,,,,,,,,,,,,1.0,1.0,
Natalie,Ben,0.0,,,,,,,,,,,,,,,,0.0,0.0,
Natalie,Denise,0.0,,,,,,,,,,,,,,,,0.0,,
Natalie,Jeremy,1.0,,,,,,,,,,,,,,,,,,
Natalie,Adam,0.0,,,,,,,,,,,,,,,,,,
Natalie,Parvati,0.0,,,,,,,,,,,,,,,,,,
Natalie,Rob,0.0,,,,,,,,,,,,,,,,,,
Natalie,Ethan,0.0,,,,,,,,,,,,,,,,,,
Natalie,Danni,0.0,,,,,,,,,,,,,,,,,,
Michele,Ben,0.0,,1.0,1.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michele,Denise,0.0,,1.0,1.0,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,
Michele,Jeremy,1.0,,1.0,1.0,,,,,,0.0,1.0,,1.0,0.0,1.0,,,,
Michele,Adam,0.0,,1.0,1.0,,,,,,0.0,0.0,,,,,,,,
Michele,Parvati,0.0,,1.0,0.0,,,,1.0,,,,,,,,,,,
Michele,Rob,0.0,,1.0,0.0,,,,,,,,,,,,,,,
Michele,Ethan,0.0,,1.0,0.0,,,,,,,,,,,,,,,
Michele,Danni,0.0,,0.0,,,,,,,,,,,,,,,,
Ben,Denise,1.0,,1.0,1.0,,,,,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,,
Ben,Jeremy,0.0,,1.0,1.0,,,,,,1.0,1.0,,0.0,1.0,0.0,,,,
Ben,Adam,1.0,,1.0,1.0,,1.0,,,,1.0,0.0,,,,,,,,
Ben,Parvati,1.0,,1.0,0.0,,,,,,,,,,,,,,,
Ben,Rob,1.0,,1.0,0.0,,0.0,,,,,,,,,,,,,
Ben,Ethan,1.0,,1.0,0.0,,,,,,,,,,,,,,,
Ben,Danni,1.0,,0.0,,,,,,,,,,,,,,,,
Denise,Jeremy,0.0,,1.0,1.0,,,0.0,,,1.0,0.0,,0.0,0.0,0.0,,,,
Denise,Adam,1.0,,1.0,1.0,,,,,,1.0,0.0,,,,,,,,
Denise,Parvati,1.0,,1.0,0.0,,,,,,,,,,,,,,,
Denise,Rob,1.0,,1.0,0.0,,,,,,,,,,,,,,,
Denise,Ethan,1.0,,1.0,0.0,,,,,,,,,,,,,,,
Denise,Danni,1.0,,0.0,,,,,,,,,,,,,,,,
Jeremy,Adam,0.0,,1.0,1.0,,,,,,1.0,0.0,,,,,,,,
Jeremy,Parvati,0.0,,1.0,0.0,,,,,,,,,,,,,,,
Jeremy,Rob,0.0,,1.0,0.0,,,,,,,,,,,,,,,
Jeremy,Ethan,0.0,,1.0,0.0,,,,,,,,,,,,,,,
Jeremy,Danni,0.0,,0.0,,,,,,,,,,,,,,,,
Adam,Parvati,1.0,,1.0,0.0,,,,,,,,,,,,,,,
Adam,Rob,1.0,,1.0,0.0,,0.0,,,,,,,,,,,,,
