,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,Edge ofExtinction Status,VotesAgainst,Place,Returnee
0,Amber Mariano,Amber,"['The Australian Outback', 'All-Stars']",40,Pensacola,FL,,Dakal,,,2nd Voted OutDay 3,Eliminated1st Jury MemberDay 35,6,20.0,True
1,Danni Boatwright,Danni,['Guatemala'],43,Shawnee,KS,,Sele,,,3rd Voted OutDay 6,Eliminated2nd Jury MemberDay 35,8,19.0,True
2,Ethan Zohn,Ethan,"['Africa', 'All-Stars']",45,Hillsborough,NH,,Sele,,,4th Voted OutDay 9,Eliminated3rd Jury MemberDay 35,4,18.0,True
3,Rob Mariano,Rob,"['Marquesas', 'All-Stars', 'Heroes vs. Villains', 'Redemption Island']",43,Pensacola,FL,,Sele,Yara,,6th Voted OutDay 14,Eliminated4th Jury MemberDay 35,4,17.0,True
4,Sandra Diaz-Twine,Sandra,"['Pearl Islands', 'Heroes vs. Villains', 'Game Changers']",44,Riverview,FL,,Dakal,Dakal,,7th Voted OutDay 16,QuitDay 16,1,16.0,True
5,Parvati Shallow,Parvati,"['Cook Islands', 'Micronesia', 'Heroes vs. Villains']",36,Los Angeles,CA,,Sele,Sele,,8th Voted OutDay 16,Eliminated5th Jury MemberDay 35,5,15.0,True
6,Yul Kwon,Yul,['Cook Islands'],44,Los Altos,CA,,Dakal,Sele,,9th Voted OutDay 18,Eliminated6th Jury MemberDay 35,3,14.0,True
7,Wendell Holland,Wendell,['Ghost Island'],35,Philadelphia,PA,,Dakal,Sele,Koru,10th Voted Out7th Jury MemberDay 21,EliminatedDay 35,12,13.0,True
8,Adam Klein,Adam,['Millennials vs. Gen X'],28,Los Angeles,CA,,Sele,Yara,Koru,11th Voted Out8th Jury MemberDay 23,EliminatedDay 35,15,12.0,True
9,Tyson Apostol,Tyson,"['Tocantins', 'Heroes vs. Villains', 'Blood vs. Water']",39,Mesa,AZ,,Dakal,,Koru,"['5th Voted OutDay 11', '12th Voted Out9th Jury MemberDay 25']","['1st ReturneeDay 19', 'EliminatedDay 35']",12,11.0,True
10,Sophie Clarke,Sophie,['South Pacific'],29,Santa Monica,CA,,Dakal,Yara,Koru,13th Voted Out10th Jury MemberDay 28,EliminatedDay 35,6,10.0,True
11,Kim Spradlin-Wolfe,Kim,['One World'],36,San Antonio,TX,,Dakal,Dakal,Koru,14th Voted Out11th Jury MemberDay 29,EliminatedDay 35,9,9.0,True
12,Jeremy Collins,Jeremy,"['San Juan del Sur', 'Cambodia']",41,Foxborough,MA,,Sele,Dakal,Koru,15th Voted Out12th Jury MemberDay 31,EliminatedDay 35,9,8.0,True
13,Nick Wilson,Nick,['David vs. Goliath'],28,Williamsburg,KY,,Dakal,Sele,Koru,16th Voted Out13th Jury MemberDay 34,EliminatedDay 35,8,7.0,True
14,Denise Stapley,Denise,['Philippines'],48,Marion,IA,,Sele,Dakal,Koru,17th Voted Out14th Jury MemberDay 36,,14,6.0,True
15,Ben Driebergen,Ben,['Heroes vs. Healers vs. Hustlers'],36,Boise,ID,,Sele,Yara,Koru,18th Voted Out15th Jury MemberDay 37,,7,5.0,True
16,Sarah Lacina,Sarah,"['Cagayan', 'Game Changers']",34,Cedar Rapids,IA,,Dakal,Yara,Koru,Eliminated16th Jury MemberDay 38,,2,4.0,True
17,Michele Fitzgerald,Michele,['Kaôh Rōng'],29,Hoboken,NJ,,Sele,Sele,Koru,SecondRunner-Up,,6,3.0,True
18,Natalie Anderson,Natalie,['San Juan del Sur'],33,Edgewater,NJ,,Sele,,Koru,"['1st Voted OutDay 2', 'Runner-Up']","['2nd ReturneeRemoved from JuryDay 35', '']",11,2.0,True
19,Tony Vlachos,Tony,"['Cagayan', 'Game Changers']",45,Allendale,NJ,,Dakal,Dakal,Koru,Sole Survivor,,0,1.0,True
