,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Tony,Natalie,Michele,Sarah,Ben,Denise,Nick,Jeremy,Kim,Sophie,Tyson,Adam,Wendell,Yul,Parvati,Sandra,Rob,Ethan,Danni,Amber,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Left Game,Finish,Reward,Immunity,Voted Out(Vote),Status,BequeathedFire TokenRecipient,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Natalie,7-2-1,-,Denise,Denise,-,Natalie,Natalie,-,Adam,-,-,-,Natalie,-,-,Natalie,-,Natalie,Natalie,Natalie,-,[],False,{},False,{},True,0,False,False,,1,"""Greatest of the Greats""","February 12, 2020",,,Dakal,Dakal,"['Natalie', '7-2-1']",1st Voted OutRemoved from JuryDay 2,Jeremy (1),6.68,1.3/7,Natalie,['Dakal'],0.5
1,2,Original Tribes,1,Amber,6-3-1,Kim,,-,Kim,-,-,Amber,-,Amber,Kim,Amber,-,Amber,Amber,-,Amber,-,-,-,Nick,[],False,{},False,{},True,0,False,False,,1,"""Greatest of the Greats""","February 12, 2020",None,None,None,Sele,"['Amber', '6-3-1']",2nd Voted Out1st Jury MemberDay 3,Rob (1),6.68,1.3/7,Amber,['Sele'],0.5
2,3,Original Tribes,2,Danni,8-1,-,,Danni,-,Danni,Danni,-,Danni,-,-,-,Danni,-,-,Danni,-,Danni,Danni,Parvati,,[],False,{},False,{},True,0,False,False,,2,"""It's Like a Survivor Economy""","February 19, 2020",None,None,Dakal,Dakal,"['Danni', '8-1']",3rd Voted Out2nd Jury MemberDay 6,Denise (1),7.16,1.4/7,Danni,['Dakal'],0.5
3,4,Original Tribes,3,Ethan,4-3-1,-,,Ethan,-,Ethan,Ethan,-,Ethan,-,-,-,Parvati,-,-,Adam,-,Adam,Adam,,,[],False,{},False,{},True,0,False,False,,3,"""Out for Blood""","February 26, 2020",None,None,Dakal,Dakal,"['Ethan', '4-3-1']",4th Voted Out3rd Jury MemberDay 9,Parvati (1),7.14,1.4/7,Ethan,['Dakal'],0.5
4,5,Original Tribes,4,Tyson,7-1-1,Tyson,,-,Tyson,-,-,Kim,-,Tyson,Tyson,Nick,-,Tyson,Tyson,-,Tyson,-,,,,[],False,{},False,{},True,0,False,False,,4,"""I Like Revenge""","March 4, 2020",None,None,Sele,Sele,"['Tyson', '7-1-1']",5th Voted OutDay 11,Nick (1),7.08,1.4/7,Tyson,['Sele'],0.5
5,6,Expanded Tribes,5,Rob,4-1,-,,-,Rob,Rob,-,-,-,-,Rob,,Rob,-,-,-,-,Sarah,,,,[],False,{},False,{},True,1,False,False,,5,"""The Buddy System on Steroids""","March 11, 2020",None,None,None,"['Sele', 'Dakal']","['Rob', '4-1']",6th Voted Out4th Jury MemberDay 14,Parvati (2),6.91,1.4/6,Rob,"['Sele', 'Dakal']",0.6666666666666666
6,7,Expanded Tribes,6,Sandra,1-0,Denise,,-,-,-,Sandra,-,Denise,Denise,-,,-,-,-,-,Denise,,,,,[],False,{},False,{},True,1,False,False,,6,"""Quick on the Draw""","March 18, 2020",None,None,Yara,Yara,"['Sandra', '1-0']",7th Voted OutDay 16,Yul (1),7.83,1.6/7,Sandra,['Yara'],0.3333333333333333
7,8,Expanded Tribes,6,Parvati,3-2,-,,Wendell,-,-,-,Parvati,-,-,-,,-,Parvati,Parvati,Wendell,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Quick on the Draw""","March 18, 2020",None,None,Yara,Yara,"['Parvati', '3-2']",8th Voted Out5th Jury MemberDay 16,Michele (3),7.83,1.6/7,Parvati,['Yara'],0.3333333333333333
8,9,Expanded Tribes,7,Yul,3-1,-,,Yul,-,-,-,Yul,-,-,-,,-,Yul,Wendell,,,,,,,['Sandra'],False,{},False,{},True,1,False,False,,7,"""We're in the Majors""","March 25, 2020",Sandra,QuitDay 16,"['Yara', 'Sele']","['Yara', 'Dakal']","['Yul', '3-1']",9th Voted Out6th Jury MemberDay 18,"['Sarah (1)', 'Sophie (1)']",8.18,1.7/8,Yul,"['Yara', 'Dakal']",0.6666666666666666
9,10,Merged Tribe,8,Wendell,9-3,Wendell,,Adam,Wendell,Wendell,Wendell,Adam,Wendell,Wendell,Wendell,Wendell,Wendell,Adam,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""This Is Where the Battle Begins""","April 1, 2020",Tyson,1st ReturneeDay 19,None,"['Denise', 'Jeremy']","['Wendell', '9-3']",10th Voted Out7th Jury MemberDay 21,"['Michele (1)', 'Nick (1)']",8.23,1.6/7,Wendell,"['Denise', 'Jeremy']",0.16666666666666666
10,11,Merged Tribe,9,Adam,8-2-1,Adam,,Adam,Nick,Adam,Nick,Adam,Adam,Adam,Adam,Adam,Sarah,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""War Is Not Pretty""","April 8, 2020",None,None,"Ben, KimMichele,Sarah,Sophie(Nick)",Kim,"['Adam', '8-2-1']",11th Voted Out8th Jury MemberDay 23,Denise (1),7.85,1.5/6,Adam,['Kim'],0.09090909090909091
11,12,Merged Tribe,10,Tyson,5-2-0,Tyson,,Tyson,"['Tyson', 'Denise']",Tyson,None,Tyson,None,Sophie,Denise,Sophie,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""The Full Circle""","April 15, 2020",None,None,None,Tony,"['Tyson', '5-2-0']",12th Voted Out9th Jury MemberDay 25,None,8.14,1.6/7,Tyson,['Tony'],0.1
12,13,Merged Tribe,11,Sophie,4-3-2,Sophie,,Sophie,Michele,Jeremy,Jeremy,Sophie,Sophie,Michele,Jeremy,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""This Is Extortion""","April 22, 2020",None,None,"Ben,Kim,Sophie",Tony,"['Sophie', '4-3-2']",13th Voted Out10th Jury MemberDay 28,"['Kim (1)', 'Sarah (1)']",8.16,1.5/6,Sophie,['Tony'],0.1111111111111111
13,14,Merged Tribe,12,Kim,5-3,Kim,,Jeremy,Kim,Kim,Jeremy,Kim,Kim,Jeremy,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Friendly Fire""","April 29, 2020",None,None,None,"['Denise', 'Tony']","['Kim', '5-3']",14th Voted Out11th Jury MemberDay 29,"['Denise (1)', 'Michele (1)', 'Sarah (1)']",8.08,1.5/6,Kim,"['Denise', 'Tony']",0.25
14,15,Merged Tribe,13,Jeremy,3-2-0,Jeremy,,Ben,Michele,Jeremy,Michele,Jeremy,Ben,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""The Penultimate Step of the War""","May 6, 2020",None,None,None,Nick,"['Jeremy', '3-2-0']",15th Voted Out12th Jury MemberDay 31,Michele (2),7.57,1.4/5,Jeremy,['Nick'],0.14285714285714285
15,16,Merged Tribe,13,Nick,4-2,Nick,,Denise,Nick,Nick,Nick,Denise,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""The Penultimate Step of the War""","May 6, 2020",None,None,None,Michele,"['Nick', '4-2']",16th Voted Out13th Jury MemberDay 34,,7.57,1.4/5,Nick,['Michele'],0.16666666666666666
16,17,Merged Tribe,14,Denise,0-0,Natalie,Ben,Ben,Natalie,Natalie,Natalie,,,,,,,,,,,,,,,"['Nick', 'Jeremy', 'Kim', 'Sophie', 'Tyson', 'Adam', 'Wendell', 'Yul', 'Parvati', 'Rob', 'Ethan', 'Danni', 'Amber']",True,"{'Tony': 'Natalie', 'Natalie': 'Ben', 'Michele': 'Ben', 'Sarah': 'Natalie', 'Ben': 'Natalie', 'Denise': 'Natalie'}",False,{},True,2,True,False,,14,"""It All Boils Down to This""","May 13, 2020","['Amber', 'Danni', 'Ethan', 'Rob', 'Parvati', 'Yul', 'Wendell', 'Adam', 'Tyson', 'Sophie', 'Kim', 'Jeremy', 'Nick', 'Natalie']","['EliminatedDay 35', '2nd ReturneeDay 35']","['Michele', '[Denise,Sarah]']","['Michele', '']","['Denise', '0-0;4-0']",17th Voted Out14th Jury MemberDay 36,,7.94,1.6/7,Denise,['Michele'],0.16666666666666666
17,18,Merged Tribe,14,Ben,3-2,Michele,Ben,Ben,Ben,Michele,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,14,"""It All Boils Down to This""","May 13, 2020",,,None,Tony,"['Ben', '3-2']",18th Voted Out15th Jury MemberDay 37,,7.94,1.6/7,Ben,['Tony'],0.2
