,Tony,Natalie,Michele,Sarah,Ben,Denise,Nick,Jeremy,Kim,Sophie,Tyson,Adam,Wendell,Yul,Parvati,Sandra,Rob,Ethan,Danni,Amber
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
4,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
5,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
6,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False
7,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False
8,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False
9,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False
10,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
11,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
12,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
13,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
14,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
15,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
16,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
